ar,tau,angle_convention,geometry_model,solve_tolerance_deg,lookup_mode,direct_dtheta_deg,lookup_dtheta_deg,lookup_minus_direct_deg,abs_diff_deg,iou_at_direct_minus_tol,iou_at_direct_plus_tol,direct_bracket_ok,curve_monotone_nonincreasing,stability_pass
1.0,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,25.528450012207045,25.528450012207045,0.0,0.0,0.7500061525034896,0.749996896309252,True,True,True
1.05,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,25.430531776688387,25.430531776688387,0.0,0.0,0.7500051742174065,0.7499958222819949,True,True,True
1.1,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,25.161912063315796,25.161912063315796,0.0,0.0,0.7500040554575409,0.7499944383288268,True,True,True
1.2,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,24.27257537841797,24.27257537841797,0.0,0.0,0.75000596851752,0.7499954444301856,True,True,True
1.6,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,19.67273712158203,19.67273712158203,0.0,0.0,0.750005515515716,0.7499893708823403,True,True,True
2.1,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,15.329704284667969,15.329704284667969,0.0,0.0,0.7500136599698873,0.7499898777002812,True,True,True
2.15,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,14.989814758300781,14.996681213378908,0.006866455078126776,0.006866455078126776,0.7500108281188154,0.7499862933698656,True,True,True
3.75,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,8.696708679199219,8.69842529296875,0.00171661376953125,0.00171661376953125,0.750024001580553,0.7499763978909705,True,True,True
8.0,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,4.089317321777344,4.089317321777344,0.0,0.0,0.7500579149742375,0.7499522022362107,True,True,True
8.125,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,4.026832580566406,4.026516567169218,-0.0003160133971880086,0.0003160133971880086,0.7500410132549664,0.7499336143234757,True,True,True
12.3,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,2.6610946655273438,2.6613405441295015,0.00024587860215774526,0.00024587860215774526,0.7500720678688775,0.749908483787604,True,True,True
24.7,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,1.3255691528320312,1.325405612325268,-0.00016354050676326004,0.00016354050676326004,0.7501403112838589,0.7498106487725352,True,True,True
63.5,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,0.5153274536132812,0.5156864436014731,0.0003589899881918379,0.0003589899881918379,0.75053634908335,0.7496878606211113,True,True,True
127.3,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,0.25714874267578125,0.2571662900939199,1.754741813864147e-05,1.754741813864147e-05,0.7508864507313006,0.7491853874707636,True,True,True
255.1,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,0.12805938720703125,0.1282812191293278,0.00022183192229655035,0.00022183192229655035,0.7521913348094965,0.7487806628113967,True,True,True
511.7,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,0.06420135498046875,0.0639298696896668,-0.0002714852908019538,0.0002714852908019538,0.7526786674870753,0.7458467905979362,True,True,True
900.0,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,0.03604888916015625,0.03660626800234452,0.0005573788421882678,0.0005573788421882678,0.7580305183279096,0.745976707706438,True,True,True
1024.0,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,table_interpolation,0.03192901611328125,0.03192901611328125,0.0,0.0,0.7571725014428252,0.7434842033961948,True,True,True
1536.0,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,conservative_inverse_ar_tail_minus_2solve_tol,0.02162933349609375,0.019185909166857598,-0.002443424329236152,0.002443424329236152,0.7570691569133456,0.736618757227867,True,True,True
2048.0,0.75,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,conservative_inverse_ar_tail_minus_2solve_tol,0.01613616943359375,0.0138894318751432,-0.00224673755845055,0.00224673755845055,0.7617139048425509,0.73440940314569,True,True,True
