cell,dataset,detector,mask_definition,aspect_ratio_source,ar_threshold,retained_count,retained_ratio,angle_convention,geometry_model,solve_tolerance_deg,delta_theta_curve_sha256,threshold_semantics,high_ar_policy,input_lineage_status,angle_threshold_deg,event_rate,interp,noise_sensitive,threshold_near_proxy_floor,proxy_role,note
A,DIOR-R,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,49502,0.5675,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.0725,fine-risk,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
A,DIOR-R,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,49502,0.5675,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0097,interpretive sensitivity,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
A,DIOR-R,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,49502,0.5675,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0034,interpretive sensitivity,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
B,DIOR-R,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,54297,0.5705,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.0772,fine-risk,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
B,DIOR-R,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,54297,0.5705,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0104,interpretive sensitivity,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
B,DIOR-R,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,54297,0.5705,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0036,interpretive sensitivity,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
C,DIOR-R,rotated_rtmdet_s,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,53671,0.5652,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.0896,fine-risk,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
C,DIOR-R,rotated_rtmdet_s,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,53671,0.5652,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0191,interpretive sensitivity,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
C,DIOR-R,rotated_rtmdet_s,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,53671,0.5652,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0091,interpretive sensitivity,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
D,FAIR1M-v1.0,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,31801,0.5806,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.1088,fine-risk,True,True,corner-jitter proxy only; not sigma_gt or human disagreement,5deg is close to/below the dataset proxy floor; noise-sensitive
D,FAIR1M-v1.0,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,31801,0.5806,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0098,interpretive sensitivity,True,False,corner-jitter proxy only; not sigma_gt or human disagreement,dataset-level label-noise-sensitive interpretation
D,FAIR1M-v1.0,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,31801,0.5806,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0015,interpretive sensitivity,True,False,corner-jitter proxy only; not sigma_gt or human disagreement,dataset-level label-noise-sensitive interpretation
E,SODA-A,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,197529,0.6388,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.0854,fine-risk,True,True,corner-jitter proxy only; not sigma_gt or human disagreement,5deg is close to/below the dataset proxy floor; noise-sensitive
E,SODA-A,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,197529,0.6388,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0101,interpretive sensitivity,True,False,corner-jitter proxy only; not sigma_gt or human disagreement,dataset-level label-noise-sensitive interpretation
E,SODA-A,rotated_retinanet_psc,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,197529,0.6388,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0019,interpretive sensitivity,True,False,corner-jitter proxy only; not sigma_gt or human disagreement,dataset-level label-noise-sensitive interpretation
F,SODA-A,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,235428,0.6249,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.1079,fine-risk,True,True,corner-jitter proxy only; not sigma_gt or human disagreement,5deg is close to/below the dataset proxy floor; noise-sensitive
F,SODA-A,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,235428,0.6249,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0142,interpretive sensitivity,True,False,corner-jitter proxy only; not sigma_gt or human disagreement,dataset-level label-noise-sensitive interpretation
F,SODA-A,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,235428,0.6249,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0028,interpretive sensitivity,True,False,corner-jitter proxy only; not sigma_gt or human disagreement,dataset-level label-noise-sensitive interpretation
G_dota_orcnn,DOTA-v1.0,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,33029,0.6756,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.0555,fine-risk,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
G_dota_orcnn,DOTA-v1.0,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,33029,0.6756,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0034,interpretive sensitivity,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
G_dota_orcnn,DOTA-v1.0,oriented_rcnn,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,33029,0.6756,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.0005,interpretive sensitivity,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,34383,0.6646,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,5,0.0503,fine-risk,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,34383,0.6646,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,10,0.0035,interpretive sensitivity,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,matched_GT_box,2.1,34383,0.6646,le90_pi_periodic_long_axis,concentric_same_scale_congruent_rectangles,0.001,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,smallest_strict_crossing_on_le90_first_lobe,conservative_inverse_ar_tail_minus_2solve_tol,PASS_FULLVAL_LINEAGE,15,0.001,interpretive sensitivity,False,False,corner-jitter proxy only; not sigma_gt or human disagreement,
