path,bytes,sha256
class_composition.csv,9508,3f694a8eb94743bece4ddb1479b74c324d9ae69739dcc89f182878af97746f55
code/compare_ab.py,3416,15e59b51435caa16089bbcd021967d0d3b8de0ccaa1f277222b9083da2a6b011
code/implementation_a.py,18923,4c06eb3efe223086cd445fb4cd63956baad469855a96bc61a8256ab1d8939190
code/implementation_b.py,14972,db4fea75a26d2adc85b9abc31b6beb141d33bca14c63296fb18a7957c7d561d8
code/prepare_inputs.py,13575,51e1ab20625c1a68c0011f58d54dab2020c47ef80d34ec76b9e9041251898872
code/run_mutations.py,4612,61a166fa197f6d3894fb120a7deee5451cf2e475af243c18a9cb5fe8bd07312d
code/validate_r034.py,11381,0fddbda35ac58c47f8ef199929d31e91e1b296a204d7740dcde6fab2b811f188
code/verify_bundle_manifest.py,1092,5ae1eb30ce916a6b40c9d198554eae6a379166503351477594b55983a1c58e9a
comparator/comparator.json,2265,43d81d8a88aecfd63deb0ed98689cc54020e9b39959e5f1f961dbc1d3bb29e3a
comparator/field_comparison.csv,1444528,c47115d0c828a67536eae7b681a6043ce6a055078a35f125c5cba1509e6302fb
implementation_a/bootstrap_metrics.npz,58013158,c469034021aaa8fb1e71068fd42ba193ff433a2656af68605e5517647015be09
implementation_a/hypotheses.csv,244964,8392e03023b2c4add9c78348a98eb52f27d24aa6d28cc5b8150ab7cc21ca03c6
implementation_a/judgment.json,370,f9e45e9dc9ceae85b5ee8ea63824cdfd07290021f0ff876e4399191e835c42fa
implementation_a/manifest.csv,926,5da763bf17f2b465ab246e42520742d19b437420bb862f5e7e2bafb6aaa44142
implementation_a/metrics.csv,38818,103825e3e61b07a94d1cd75b57abbd20064f5981f3c12e5b6be82eec966790d6
implementation_a/multiplicities.npz,32039070,f9043d40c433ce7dba905021da116dc131252acdd43725023f46a5e2e5d30bcb
implementation_a/multiplicity_sha256.csv,3105585,2016698baf963a854aa60830c13f7e1e2642d025f58be7e3e3d5d0d7c1d9bd0b
implementation_a/primary_family.csv,5869,f711113b0c2d765583f58eccaef547dba2af3b41a499bee2fd1223c2b511f9f3
implementation_a/primary_replicates.parquet,3512233,3457b37fa0cf25a917c94841453072585b6b494577e248b5b70c434a0a5ba36f
implementation_a/protocol.json,885,882d44bf84086d3f721a231bb8c7c6d56efb53d8d5b61c0a7a5f85738debf8df
implementation_a/three_way_decomposition.csv,385,0c7cbc9ec0c0b6e71de70e1fb655bc3c599d3ac8a5f853084102e5006a2d6b1a
implementation_b/bootstrap_metrics.npz,58013220,81c7cbf8fe9e2b8dbdb4526ea9f28574e53c2b1c6294193502495022a30ca861
implementation_b/hypotheses.csv,244962,4d57ed10ecafbc7af05f20875e118b5109067fffba94d89623ade2b8a969b775
implementation_b/judgment.json,344,b452817e2186a48725780784003b844b4f266792538e3a29be52649b31813592
implementation_b/multiplicities.npz,32039070,f9043d40c433ce7dba905021da116dc131252acdd43725023f46a5e2e5d30bcb
implementation_b/multiplicity_sha256.csv,3105585,2016698baf963a854aa60830c13f7e1e2642d025f58be7e3e3d5d0d7c1d9bd0b
implementation_b/primary_family.csv,5866,9e8b90928e8ef82884f6e1b0227ee18ee404ecc59925ac4dbb89772b22918fea
implementation_b/protocol.json,190,6c80cff35f789fade448e56f111fd179e224cd401d122e21a6f3519219ebbf0b
inputs/cluster_universe.csv,189551,a31d6ae3ac6f3fa9a849a0d215edd0aa997d9b8cf67429695296debed430a934
inputs/derived_input_manifest.csv,885,8bca18133587881411aab421f1ce0b991a4f5855b807ca8e3f86a8c5a9aeef46
inputs/join_audit.csv,917,ad29045b635b7c447d859d82d6f8a6f03ffa96b4568548a427a27d3bc1a9c050
inputs/matched_rows_enriched.parquet,37491448,9b5285612a440f4a9eb21b26ae0f35e10498ff64f626f96d7cf36c20f10ca99e
inputs/source_inventory.csv,4670,10520b1227ac80001b93b839c509ca93af44cfdf656304b346b2ad2a6e9a5799
lineage_status.csv,4603,6b0ad0499832d980541b8e00efcb96cbf00dcd1b7d144b8d82af85bc6aab25d5
matching_diagnostics.csv,1184,43117a2e42052ab1ab12673aa3958297d42c2f1d303228f1de2dfe0e89e5b789
mechanism_diagnostics.csv,2969,b1da157fd658d871d2039060afd1083db1b296ca0c346f1eaf0155e5be4c8683
mutations/mutation_results.json,1324,3645a1a5d49dcbd9f36174d7cb7397e3cb06026a37661d693e8161adac93b6b2
nms_config_inventory.csv,4253,e07120f835ecd07fd41eec2f1ff69b6eca982ae67eec953b05c29178ba37fde0
validation/validation.json,223,f90cb08c101da72e547fda570f5563698990ee36983d6bbce40e95b561d1004a
