config,target_unit,alpha,nominal_coverage,rows,source_rows,mondrian_non_sparse_buckets,global_threshold,overall_coverage,coverage_deviation,worst_bucket_coverage,median_width_deg,normalized_median_width,near_full_gt150_rate,fallback_rate,kill
HOdet_A_to_B,B,0.1,0.8,47887,43848,48,1.6897889586430928,0.8984275481863554,-0.0015724518136446,0.0,9.570391032807112,0.0531688390711506,0.1528180925929793,0.0159124605842921,False
HOdet_A_to_B,B,0.2,0.8,47887,43848,48,1.0686388389689108,0.77056403616848,-0.02943596383152,0.0,6.382697432166758,0.0354594301787042,0.1268611522960302,0.0159124605842921,False
HOdet_A_to_C,C,0.1,0.9,47881,43848,48,1.6897889586430928,0.8961801131973016,-0.0038198868026984,0.0,9.570391032807112,0.0531688390711506,0.1558864685365802,0.0146404628140598,False
HOdet_A_to_C,C,0.2,0.8,47881,43848,48,1.0686388389689108,0.7630584156554792,-0.0369415843445208,0.0,6.3775734422348505,0.0354309635679713,0.1216140013784173,0.0146404628140598,False
HOdet_BC_to_A,A,0.1,0.9,43848,95768,61,1.6542305413455722,0.8979656996898376,-0.0020343003101623,0.4,9.173358293937264,0.0509631016329848,0.1306102900930487,0.0057471264367816,False
HOdet_BC_to_A,A,0.2,0.8,43848,95768,61,1.0853928084193538,0.8011539864988141,0.001153986498814,0.4,6.452648145240923,0.0358480452513384,0.1125022806057288,0.0057471264367816,False
HOdata_ABC_to_D,D,0.1,0.9,26108,139616,64,1.6643753173136038,0.9535391450896276,0.0535391450896276,0.0,16.041877657964207,0.0891215425442455,0.0559598590470353,0.8878121648536847,True
HOdata_ABC_to_D,D,0.2,0.8,26108,139616,64,1.082831301840152,0.8700781369695113,0.0700781369695112,0.0,10.43673688718903,0.0579818715954946,0.0518231959552627,0.8878121648536847,True
HOdata_ABC_to_E,E,0.1,0.9,157586,139616,64,1.6643753173136038,0.9470511339839832,0.0470511339839833,0.3333333333333333,13.759166340106688,0.0764398130005927,0.0686165014658662,0.7765791377406622,False
HOdata_ABC_to_E,E,0.2,0.8,157586,139616,64,1.082831301840152,0.8674501542015154,0.0674501542015153,0.3333333333333333,8.974984093168972,0.0498610227398276,0.0527711852575736,0.7765791377406622,True
HOdata_ABC_to_F,F,0.1,0.9,192249,139616,64,1.6643753173136038,0.946694131048796,0.046694131048796,0.5548895358794315,14.953048618031175,0.0830724923223954,0.0578364516850542,0.7923786339590844,False
HOdata_ABC_to_F,F,0.2,0.8,192249,139616,64,1.082831301840152,0.8627197020530666,0.0627197020530665,0.0,9.728352092889718,0.0540464005160539,0.0448636923989201,0.7923786339590844,True
HOdata_ABC_to_G,G,0.1,0.9,48889,139616,64,1.6643753173136038,0.8987502301131134,-0.0012497698868866,0.0,8.502283517399768,0.0472349084299987,0.0780134590603203,0.3660128045163534,False
HOdata_ABC_to_G,G,0.2,0.8,48889,139616,64,1.082831301840152,0.7801141361042361,-0.0198858638957639,0.0,5.647962134010118,0.0313775674111673,0.0698930229704023,0.3660128045163534,False
HOdata_ABC_to_H,H,0.1,0.9,51736,139616,64,1.6643753173136038,0.9121694758002163,0.0121694758002164,0.0,8.568509942486767,0.0476028330138153,0.0985773929178908,0.3735889902582341,False
HOdata_ABC_to_H,H,0.2,0.8,51736,139616,64,1.082831301840152,0.7930647904747178,-0.0069352095252822,0.0,5.675365415782004,0.0315298078654555,0.0894928096489871,0.3735889902582341,False
