level,key,contrast,endpoint,ablation_id,effect_class,hypothesis_key,main_probe,main_raw,ablation_probe,ablation_raw,delta_main,delta_ablation,dod,epsilon_main,epsilon_ablation,delta_main_ci_low,delta_main_ci_high,delta_ablation_ci_low,delta_ablation_ci_high,dod_ci_low,dod_ci_high,p_raw,main_swap70,main_swap90,ablation_swap70,ablation_swap90,p_holm,supported_direction,witness,full_signature
unit,A,linear_source_frozen,AUGRC,NO_LONGSIDE_AR21,ANGLE_EQUIVALENCE,unit|A|linear_source_frozen|AUGRC|NO_LONGSIDE_AR21,0.021237087747951813,0.02026966782991315,0.2558837831565797,0.25514874264074316,0.0009674199180386631,0.0007350405158365603,0.0002323794022021028,0.0005,0.005117675663131594,0.0007229880830703414,0.0012006816516434025,-0.0015068292918528556,0.0030250037665990525,-0.0020353404535790316,0.002451893771348883,0.8378162183781622,0.18138498990003626,0.08978970084204291,0.18138498990003626,0.08978970084204291,1.0,NONE,False,
unit,A,linear_source_frozen,AUGRC,NO_GEONORM_AR21,GEOMETRY_NORMALIZATION,unit|A|linear_source_frozen|AUGRC|NO_GEONORM_AR21,0.021237087747951813,0.02026966782991315,0.007516526446358655,0.007719557522387441,0.0009674199180386631,-0.00020303107602878592,0.001170450994067449,0.0005,0.0005,0.0007229880830703414,0.0012006816516434025,-0.00029708530085809624,-0.00011988801732111144,0.0009936718875884004,0.0013446720875651208,9.999000099990002e-05,0.18138498990003626,0.08978970084204291,0.18138498990003626,0.08978970084204291,0.026997300269973004,RAW_BETTER_MAIN__PROBE_BETTER_ABLATION,False,
unit,A,linear_source_frozen,AUGRC,NORMALIZED_ALL_AR,AR_DOMAIN,unit|A|linear_source_frozen|AUGRC|NORMALIZED_ALL_AR,0.021237087747951813,0.02026966782991315,0.03901954082241025,0.04983422288635606,0.0009674199180386631,-0.010814682063945813,0.011782101981984476,0.0005,0.0009966844577271212,0.0007229880830703414,0.0012006816516434025,-0.01198423916775774,-0.00966615868318308,0.01061735164899286,0.012958511329812959,9.999000099990002e-05,0.18138498990003626,0.08978970084204291,0.2333371704846322,0.1191497474025355,0.026997300269973004,RAW_BETTER_MAIN__PROBE_BETTER_ABLATION,True,AR_DOMAIN|NORMALIZED_ALL_AR|linear_source_frozen|AUGRC|RAW_BETTER_MAIN__PROBE_BETTER_ABLATION
unit,A,linear_source_frozen,AUGRC,NORMALIZED_AR16,AR_DOMAIN,unit|A|linear_source_frozen|AUGRC|NORMALIZED_AR16,0.021237087747951813,0.02026966782991315,0.02016171530949011,0.01934085759115544,0.0009674199180386631,0.0008208577183346707,0.0001465621997039923,0.0005,0.0005,0.0007229880830703414,0.0012006816516434025,0.0005980681502296951,0.0010362233670035304,3.75363811384327e-05,0.0002618032630824398,0.011998800119988001,0.18138498990003626,0.08978970084204291,0.1714660831509847,0.08314005352363961,1.0,NONE,False,
unit,A,linear_source_frozen,AUGRC,NORMALIZED_AR13,AR_DOMAIN,unit|A|linear_source_frozen|AUGRC|NORMALIZED_AR13,0.021237087747951813,0.02026966782991315,0.020682956263320208,0.020607001230809975,0.0009674199180386631,7.595503251023317e-05,0.0008914648855284299,0.0005,0.0005,0.0007229880830703414,0.0012006816516434025,-0.0002486790652134305,0.0003741444935173318,0.0006240410264002326,0.0011837914018057603,9.999000099990002e-05,0.18138498990003626,0.08978970084204291,0.17650347416340548,0.08868053520851646,0.026997300269973004,NONE,False,
unit,A,linear_source_frozen,Risk@70,NO_LONGSIDE_AR21,ANGLE_EQUIVALENCE,unit|A|linear_source_frozen|Risk@70|NO_LONGSIDE_AR21,0.044204996415624746,0.041802659499434104,0.51478831263533,0.5143098154372613,0.002402336916190642,0.00047849719806869473,0.0019238397181219474,0.001,0.0102957662527066,0.0014355101822856502,0.003327639476252113,-0.008330296965481359,0.00847862996026721,-0.0058421999647149375,0.010750014903295671,0.6645335466453355,0.18138498990003626,0.08978970084204291,0.18138498990003626,0.08978970084204291,1.0,NONE,False,
unit,A,linear_source_frozen,Risk@70,NO_GEONORM_AR21,GEOMETRY_NORMALIZATION,unit|A|linear_source_frozen|Risk@70|NO_GEONORM_AR21,0.044204996415624746,0.041802659499434104,0.015460724846024261,0.015988001306613743,0.002402336916190642,-0.0005272764605894816,0.0029296133767801238,0.001,0.001,0.0014355101822856502,0.003327639476252113,-0.000898240580568498,-0.00018485504973319683,0.0022772330056709486,0.003566592238190579,9.999000099990002e-05,0.18138498990003626,0.08978970084204291,0.18138498990003626,0.08978970084204291,0.026997300269973004,RAW_BETTER_MAIN__PROBE_BETTER_ABLATION,False,
unit,A,linear_source_frozen,Risk@70,NORMALIZED_ALL_AR,AR_DOMAIN,unit|A|linear_source_frozen|Risk@70|NORMALIZED_ALL_AR,0.044204996415624746,0.041802659499434104,0.07418122669521182,0.10058937721519222,0.002402336916190642,-0.026408150519980397,0.02881048743617104,0.001,0.0020117875443038443,0.0014355101822856502,0.003327639476252113,-0.03106992079862061,-0.022062953066861637,0.02432422875479247,0.03357229951352489,9.999000099990002e-05,0.18138498990003626,0.08978970084204291,0.2333371704846322,0.1191497474025355,0.026997300269973004,RAW_BETTER_MAIN__PROBE_BETTER_ABLATION,True,AR_DOMAIN|NORMALIZED_ALL_AR|linear_source_frozen|Risk@70|RAW_BETTER_MAIN__PROBE_BETTER_ABLATION
unit,A,linear_source_frozen,Risk@70,NORMALIZED_AR16,AR_DOMAIN,unit|A|linear_source_frozen|Risk@70|NORMALIZED_AR16,0.044204996415624746,0.041802659499434104,0.041905534107891745,0.039765066568204575,0.002402336916190642,0.00214046753968717,0.00026186937650347214,0.001,0.001,0.0014355101822856502,0.003327639476252113,0.0013349299630515084,0.0030935582365369378,-0.00041348079989913817,0.0007431852704316305,0.41235876412358763,0.18138498990003626,0.08978970084204291,0.1714660831509847,0.08314005352363961,1.0,NONE,False,
unit,A,linear_source_frozen,Risk@70,NORMALIZED_AR13,AR_DOMAIN,unit|A|linear_source_frozen|Risk@70|NORMALIZED_AR13,0.044204996415624746,0.041802659499434104,0.042677577638865864,0.042556063508208904,0.002402336916190642,0.0001215141306569606,0.0022808227855336816,0.001,0.001,0.0014355101822856502,0.003327639476252113,-0.0011558918330233407,0.0012681554923571897,0.0011597872184750065,0.0034760156465502494,9.999000099990002e-05,0.18138498990003626,0.08978970084204291,0.17650347416340548,0.08868053520851646,0.026997300269973004,NONE,False,
