path,bytes,sha256,schema_or_format,can_recompute
experiments/r045_axis_drift/configs/dior_lsknet_source.py,1115,5d528790f1580111d0b355eb0be33fe9adbee68371ff1b5073ba3632c5c45b29,2,true
experiments/r045_axis_drift/configs/dior_r50_source.py,1449,ea5814163e4beddf9b5e25a13630fb1c1e9361587761e519cf63db679189c8fb,2,true
experiments/r045_axis_drift/configs/dior_rtmdet_source.py,1079,9aed88fc2f667e8e63696a42817a8c0831e3b8dc79f4421bb9dbd99ef7506645,2,true
experiments/r045_axis_drift/configs/hrsc_lsknet_audit.py,1122,550317cdf9360a92d8b28f7b6caee232d38981841e442e0e2c5bac22829350bc,2,true
experiments/r045_axis_drift/configs/hrsc_r50_audit.py,1253,f924277bf0b09184da2b44ef68bd25681eeb778cafa97e92761bb96a2017dfd6,2,true
experiments/r045_axis_drift/configs/hrsc_r50_dcal_score_only.py,1266,b5cc4e991138d264f0dc652dad28f24aa0307b0d2349a7bedf45970c40aa9844,2,true
experiments/r045_axis_drift/evaluate_axis_drift.py,11919,1f67461f5df7d469c2b95f9c386a96f014aea632c4e8385bfb43b15dd1bede6a,2,true
experiments/r045_axis_drift/evaluate_hrsc_target.py,3392,2c44386ee8b788cbafc376d7b7526bac638507b65479a24eae5f4123e02022f2,2,true
experiments/r045_axis_drift/extract_target_score_only.py,1633,2e953972c816485d392311373c7dbf9054b8db81adc25eea3d7e28bbbc894a4f,2,true
experiments/r045_axis_drift/finalize_audit.py,2792,378db459082791d2170db9c2c549be84d6b4826cb3e52d43d3c3119baeffe194,2,true
experiments/r045_axis_drift/image_only_dataset.py,1080,33a23ce26ab3ebf9ae1a06995eedb93109e8e306f58cc68b848e49f67d6dcdca,2,true
experiments/r045_axis_drift/independent_mutation_audit.py,921,7a9a9f389778b5c27ec2636e7bab9d478724e3b0cd2f3ff5c3040170b6e4347a,2,true
experiments/r045_axis_drift/prepare_dior_subset.py,1743,a441bbcb0b33d4548555d0fe3903d06c01cefefc5bdabfb68b0b3fb430778419,2,true
experiments/r045_axis_drift/prepare_hrsc_score_only.py,871,0d0b56e263bc01c697219affbf6e97bf2e89a073be51eecee8a67124332cea8f,2,true
experiments/r045_axis_drift/run_mutations.py,1838,58d9208fde60553bdc4cda8cee12c507aab476b192951b6eb4586209dfd9dd25,2,true
experiments/r045_axis_drift/target_gate_a.py,7512,ac1f3c58b93c477ef61cb6cec8c8ae335e2adaacdd4c0a4957c156d5ec80f710,2,true
experiments/r045_axis_drift/target_validator_b.py,7113,5f8ce319830f5a1c1b2443ffe78524ca83420ffccd7c6372994f891681dcb634,2,true
outputs/persistent_artifacts/orientbench_axis_drift_r045_20260818/logs/dior_lsknet_inference_attempt1.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,native,true
outputs/persistent_artifacts/orientbench_axis_drift_r045_20260818/logs/dior_lsknet_inference_attempt2_bad_suffix.log,11549,727b6baf9f0ec5a983515baf3485d6df0b4e98cd10f52240c8f93e7c1211d869,native,true
outputs/persistent_artifacts/orientbench_axis_drift_r045_20260818/logs/dior_lsknet_inference_attempt3.log,23303,602867da2aa236ec6a33e85732aa80120d6beee6c7208d3305a851cf2db4d671,native,true
