seed,score,spearman_vs_phase_mod,kendall_vs_phase_mod,rank_disagreement,top10_overlap,monotone_phase_transform,detection_score_replica,within_size_class_control,status
0,phase_mod,1.0,1.0,0.0,1.0,True,False,completed_no_exact_proxy,BASELINE_OR_MONOTONE
0,negative_phase_mod,-1.0,-1.0,0.9999700266762581,0.0,True,False,completed_no_exact_proxy,BASELINE_OR_MONOTONE
0,detection_score,0.06707189325200538,0.04594073569279167,0.9999700266762581,0.10371702637889688,False,True,completed_no_exact_proxy,NONTRIVIAL
0,multi_frequency_consistency,0.028616246686518517,0.01906851983254132,0.9999100800287744,0.08752997601918465,False,False,completed_no_exact_proxy,NONTRIVIAL
0,unwrap_candidate_energy_gap,0.028616246686518517,0.01906851983254132,0.9999100800287744,0.08752997601918465,False,False,completed_no_exact_proxy,NONTRIVIAL
0,phase_direction_margin,0.5121769389277834,0.3642592762851178,0.9997901867338069,0.43225419664268583,False,False,completed_no_exact_proxy,NONTRIVIAL
1,phase_mod,1.0,1.0,0.0,1.0,True,False,completed_no_exact_proxy,BASELINE_OR_MONOTONE
1,negative_phase_mod,-1.0,-1.0,1.0,0.0,True,False,completed_no_exact_proxy,BASELINE_OR_MONOTONE
1,detection_score,0.030431114378397007,0.0204403604929997,0.9999397263576638,0.06720916214587101,False,True,completed_no_exact_proxy,NONTRIVIAL
1,multi_frequency_consistency,0.037433336297295935,0.02506462750112207,0.9999698631788319,0.09282700421940929,False,False,completed_no_exact_proxy,NONTRIVIAL
1,unwrap_candidate_energy_gap,0.037433336297295935,0.02506462750112207,0.9999698631788319,0.09282700421940929,False,False,completed_no_exact_proxy,NONTRIVIAL
1,phase_direction_margin,0.48474902254679797,0.34182957184912766,0.9999397263576638,0.42646172393007836,False,False,completed_no_exact_proxy,NONTRIVIAL
2,phase_mod,1.0,1.0,0.0,1.0,True,False,completed_no_exact_proxy,BASELINE_OR_MONOTONE
2,negative_phase_mod,-1.0,-1.0,1.0,0.0,True,False,completed_no_exact_proxy,BASELINE_OR_MONOTONE
2,detection_score,0.10265468582282161,0.06866377709246799,0.9999397916792101,0.08611863896416742,False,True,completed_no_exact_proxy,NONTRIVIAL
2,multi_frequency_consistency,0.04730788992580781,0.031663736904168995,0.9999096875188151,0.09695874736525142,False,False,completed_no_exact_proxy,NONTRIVIAL
2,unwrap_candidate_energy_gap,0.04730788992580781,0.031663736904168995,0.9999096875188151,0.09695874736525142,False,False,completed_no_exact_proxy,NONTRIVIAL
2,phase_direction_margin,0.5723403291644589,0.4108041660264953,0.9997892708772352,0.47576031315868716,False,False,completed_no_exact_proxy,NONTRIVIAL
