dataset,host,seed,score,endpoint,n,event_base_rate,NRC,AURC,Risk70,Risk90,retained_count,retained_ratio,prediction_identity,AP_invariance
DOTA-v1.0,RotatedFCOS,0,phase_mod,endpoint_continuous,33363,0.0019182927194796632,0.9369562148262636,1.7188900242183829,1.7011156736736146,1.7319596780552213,33363,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,0,phase_mod,endpoint_severe_event,33363,0.0019182927194796632,0.6612138417306653,0.0012690351777835754,0.0011132996488824184,0.0013321787783920603,33363,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,0,negative_phase_mod,endpoint_continuous,33363,0.0019182927194796632,1.19080435859523,1.995699783477701,1.8334911096492548,1.7939606072834593,33363,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,0,negative_phase_mod,endpoint_severe_event,33363,0.0019182927194796632,2.3093508229013677,0.004427562581145197,0.0021837800805001284,0.00199826816758809,33363,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,0,detection_score,endpoint_continuous,33363,0.0019182927194796632,0.8216707488974245,1.5931765106348277,1.6838932134706903,1.7152916431588126,33363,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,0,detection_score,endpoint_severe_event,33363,0.0019182927194796632,0.13861294442530858,0.00026751086638328466,0.000428192172647084,0.0007993072670352361,33363,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,0,multi_frequency_consistency,endpoint_continuous,33363,0.0019182927194796632,0.9287963752643431,1.7099920933877932,1.717251371917548,1.7425403740558199,33363,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,0,multi_frequency_consistency,endpoint_severe_event,33363,0.0019182927194796632,0.6116322489034464,0.001174015879365886,0.001156118866147127,0.0013321787783920603,33363,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,0,unwrap_candidate_energy_gap,endpoint_continuous,33363,0.0019182927194796632,0.9287963752643431,1.7099920933877932,1.717251371917548,1.7425403740558199,33363,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,0,unwrap_candidate_energy_gap,endpoint_severe_event,33363,0.0019182927194796632,0.6116322489034464,0.001174015879365886,0.001156118866147127,0.0013321787783920603,33363,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,0,phase_direction_margin,endpoint_continuous,33363,0.0019182927194796632,0.8531306222924503,1.6274820598167488,1.6486771106813662,1.70681496972794,33363,1.0,unchanged,True
