analysis,dataset,seed,intervention,parameter,endpoint,n,mean_angle_error,severe_rate,nrc,paired_delta_nrc_vs_phase_mod_ci_lo,paired_delta_nrc_vs_phase_mod_ci_hi,decoded_angle_change_median_deg,decoded_angle_change_p95_deg,candidate_switch_rate,evidence_role,mean_phase_mod,actual_head_mean_angle_loss,actual_head_mean_abs_radial_gradient,actual_head_mean_tangential_gradient_norm,actual_head_mean_abs_dloss_dk,AP50,AP75,full_evaluator_available
BASELINE_SCORE,DIOR-R,0,phase_mod,base,endpoint_continuous,48282,1.7445479759745401,,1.199835894155785,nan,nan,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,phase_mod,base,endpoint_severe_event,48282,1.7445479759745401,,0.9519935580487355,nan,nan,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,negative_phase_mod,base,endpoint_continuous,48282,1.7445479759745401,,1.1484067074340645,nan,nan,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,negative_phase_mod,base,endpoint_severe_event,48282,1.7445479759745401,,1.5086361557988122,nan,nan,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,detection_score,base,endpoint_continuous,48282,1.7445479759745401,,0.5871237292254151,nan,nan,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,detection_score,base,endpoint_severe_event,48282,1.7445479759745401,,0.23314242396280985,nan,nan,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,multi_frequency_consistency,base,endpoint_continuous,48282,1.7445479759745401,,0.47411029998001514,-0.4089141263132807,-0.13879615410670595,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,multi_frequency_consistency,base,endpoint_severe_event,48282,1.7445479759745401,,0.6441554677827023,0.1487769271076427,0.6500468260887883,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,unwrap_candidate_energy_gap,base,endpoint_continuous,48282,1.7445479759745401,,0.47411029998001514,-0.37429213399849004,-0.11830376830105296,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,unwrap_candidate_energy_gap,base,endpoint_severe_event,48282,1.7445479759745401,,0.6441554677827023,0.1675124358432813,0.7121095553154744,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,phase_direction_margin,base,endpoint_continuous,48282,1.7445479759745401,,1.049997731305616,-0.09806632575599142,-0.001627200170390689,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,phase_direction_margin,base,endpoint_severe_event,48282,1.7445479759745401,,0.7193487896105635,-0.3498864520447659,-0.027031931045090725,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,tta_phase_direction_consistency,base,endpoint_continuous,48282,1.7445479759745401,,0.5079726804918467,-0.34607548744789124,-0.05265172319020901,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
BASELINE_SCORE,DIOR-R,0,tta_phase_direction_consistency,base,endpoint_severe_event,48282,1.7445479759745401,,0.7526397370521581,0.20820716654445015,0.808160394535389,0.0,0.0,0.00012426991425375916,RANKING_ONLY,,,,,,,,
RADIAL,DIOR-R,0,z_prime=k*z,0.25,endpoint_continuous,48282,9.362224773347494,,1.0320720754434127,,,1.515735200203011,36.30519814941148,0.00012426991425375916,MECHANISM_ONLY_NOT_RANKING_ONLY,0.14074555097934766,0.5984602065,0.0895322861,0.0476695245,0.7266959539,0.50108,0.262996,True
RADIAL,DIOR-R,0,z_prime=k*z,0.25,endpoint_severe_event,48282,,0.30686384159728264,0.989830754861585,,,1.515735200203011,36.30519814941148,0.00012426991425375916,MECHANISM_ONLY_NOT_RANKING_ONLY,0.14074555097934766,0.5984602065,0.0895322861,0.0476695245,0.7266959539,0.50108,0.262996,True
