path,bytes,sha256,is_symlink,symlink_target,status
outputs/persistent_artifacts/k1_table1_fullval_065/gt/DIOR-R_test_fullval_gt.jsonl,21071368,894f5dac4a05619fb73d197a7475a7f34a517bb13b1c6fa718d31a7090a5c1a5,False,,PRESENT
outputs/persistent_artifacts/k1_table1_fullval_065/gt/FAIR1M-v1.0_val20_fullval_gt.jsonl,15342053,3eb4fd880b6dd6eb4e57d310811c050e8ad75ffabf9387c5b8103c7f1c85792e,False,,PRESENT
outputs/persistent_artifacts/k1_table1_fullval_065/gt/FAIR1M-v1.0_val_fullval_gt.jsonl,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,,PRESENT
outputs/persistent_artifacts/k1_table1_fullval_065/gt/SODA-A_val_tiled_fullval_gt.jsonl,96558376,68805e7d7098054a62977b3b34bc718cd565b9bb1b89db5118350340b3cc0a5b,False,,PRESENT
outputs/persistent_artifacts/m069_fullval_reliability/A/image_universe.csv,1658312,3f1d2ef764c3f6e383e2b9e6285ed947a26f25b9707104bd8d9fb875408d4b0d,False,,PRESENT
outputs/persistent_artifacts/m069_fullval_reliability/A/manifest.json,1702,ef5971364c294a8accd47430c3ebc129fe77824f144c2e2b7e7a4279484fba77,False,,PRESENT
outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,133273156,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,False,,PRESENT
outputs/persistent_artifacts/m069_fullval_reliability/B/image_universe.csv,1652313,644ccaa922986d3597049680924a63555975e8a61f8ac26fccf744ff41c5edee,False,,PRESENT
outputs/persistent_artifacts/m069_fullval_reliability/B/manifest.json,1698,f85b8e1b80596e90b6c89e7433ba0a118f76397995cc86d472317e6addfbd1b8,False,,PRESENT
outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,132369719,e1772d642990fb45ee00d31a2cc62b8fd468d0e1a99e009e0430e91e51082513,False,,PRESENT
outputs/persistent_artifacts/m069_fullval_reliability/C/image_universe.csv,1655606,52c04690d415a66b59ff9d30d58f97ae836d71d62e543c8e278b707d4565bc77,False,,PRESENT
outputs/persistent_artifacts/m069_fullval_reliability/C/manifest.json,1701,92f1da8b2c505fff6a39a6a530deb96e5dd4422738c5f6c4af36bddae64ab1a8,False,,PRESENT
outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,132382835,91d4b372e5340a4849af680d82a3973be0999b2778e89375116067fa6009ea2e,False,,PRESENT
outputs/persistent_artifacts/m069_fullval_reliability/D/image_universe.csv,719167,5cec906c601469dff58a2e6a26293d54613cc7f162c458f6a5abde0cb0f76586,False,,PRESENT
outputs/persistent_artifacts/m069_fullval_reliability/D/manifest.json,1719,81b541db0afbad2465b9c7012bd4c6cb7b3dbfd496890984abfc48e27707172b,False,,PRESENT
outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,86428641,fe2c0b3690e12793f898c0c7a5ce100806567e39f4b3671e9b1e2af5fb8c3bbf,False,,PRESENT
