seed,score,endpoint,delta_NRC_vs_phase_mod,ci_lo,ci_hi,unit,reps
0,detection_score,endpoint_continuous,-0.11528546592883904,-0.3120995711506075,-0.045623897989296454,mother_scene,800
0,detection_score,endpoint_severe_event,-0.5226008973053567,-0.4240338197996268,0.23879078694427386,mother_scene,800
0,multi_frequency_consistency,endpoint_continuous,-0.008159839561920457,-0.2079258715683786,0.1945532610979436,mother_scene,800
0,multi_frequency_consistency,endpoint_severe_event,-0.04958159282721897,-0.45235417263057953,0.46719143614647146,mother_scene,800
0,unwrap_candidate_energy_gap,endpoint_continuous,-0.008159839561920457,-0.2301906647087587,0.17681671928579937,mother_scene,800
0,unwrap_candidate_energy_gap,endpoint_severe_event,-0.04958159282721897,-0.4322698538070282,0.10059731632506931,mother_scene,800
0,phase_direction_margin,endpoint_continuous,-0.08382559253381328,-0.061073117042570624,0.28680157802199435,mother_scene,800
0,phase_direction_margin,endpoint_severe_event,-0.18983953682711258,-0.37123155049548795,0.15444782435402551,mother_scene,800
1,detection_score,endpoint_continuous,-0.12657405865382176,-0.5129609738121274,-0.09849877748150816,mother_scene,800
1,detection_score,endpoint_severe_event,-0.6107323125850035,-2.4492385558798873,0.2516140527752059,mother_scene,800
1,multi_frequency_consistency,endpoint_continuous,-0.04062511596319429,-0.26648273441009224,0.24279668248193,mother_scene,800
1,multi_frequency_consistency,endpoint_severe_event,-0.2157125525983027,-2.360768079009449,0.3674918099216584,mother_scene,800
1,unwrap_candidate_energy_gap,endpoint_continuous,-0.04062511596319429,-0.22923757322440277,0.24986002347547503,mother_scene,800
1,unwrap_candidate_energy_gap,endpoint_severe_event,-0.2157125525983027,-2.431388581313338,0.3013728877425903,mother_scene,800
1,phase_direction_margin,endpoint_continuous,-0.09971755359475698,-0.06310696984096155,0.27262749691855687,mother_scene,800
1,phase_direction_margin,endpoint_severe_event,-0.1030099139149333,-0.2913192106173924,0.7001659552400168,mother_scene,800
2,detection_score,endpoint_continuous,-0.12154450255017679,-0.5100459919576067,-0.17557540692001103,mother_scene,800
2,detection_score,endpoint_severe_event,-0.5846228698634535,-0.8396473707015606,0.15694776257689516,mother_scene,800
2,multi_frequency_consistency,endpoint_continuous,0.016475511892928618,-0.2894475106833018,0.0800240563055298,mother_scene,800
2,multi_frequency_consistency,endpoint_severe_event,-0.20926651550419118,-0.5398383867078268,0.9011402496501721,mother_scene,800
2,unwrap_candidate_energy_gap,endpoint_continuous,0.016475511892928618,-0.32652021515565804,0.04666347793721512,mother_scene,800
2,unwrap_candidate_energy_gap,endpoint_severe_event,-0.20926651550419118,-0.5840539298768184,0.7633148245526312,mother_scene,800
2,phase_direction_margin,endpoint_continuous,-0.041538593534896195,-0.27120650150164255,0.0011753143633526804,mother_scene,800
2,phase_direction_margin,endpoint_severe_event,-0.07345723531101422,-0.2943952693028501,0.44279271074705145,mother_scene,800
