dataset,split,class_name,n,score_definition,score_mean,score_median,score_p10,score_p90,score_mode,not_detector_prediction,not_formal_calibration,not_official_result
_HEAD_TYPE_DEF_,,native_quality_head,,native_plus_benchcore_default_comparison,,,,,definition,True,True,True
_HEAD_TYPE_DEF_,,pure_regression_head,,calibrated_gv_obliquity_proxy,,,,,definition,True,True,True
_HEAD_TYPE_DEF_,,angle_distribution_head,,negative_normalized_angle_entropy,,,,,definition,True,True,True
DIOR-R,trainval,Expressway-Service-area,23,calibrated_gv_obliquity_proxy,0.58099,0.53273,0.43491,0.76776,dry_run,True,True,True
DIOR-R,trainval,Expressway-toll-station,7,calibrated_gv_obliquity_proxy,0.63235,0.64519,0.44655,0.79866,dry_run,True,True,True
DIOR-R,trainval,airplane,40,calibrated_gv_obliquity_proxy,0.85733,1.0,0.53146,1.0,dry_run,True,True,True
DIOR-R,trainval,airport,12,calibrated_gv_obliquity_proxy,0.47873,0.33244,0.17337,0.99328,dry_run,True,True,True
DIOR-R,trainval,baseballfield,46,calibrated_gv_obliquity_proxy,0.88626,0.98889,0.61986,1.0,dry_run,True,True,True
DIOR-R,trainval,basketballcourt,8,calibrated_gv_obliquity_proxy,0.90038,0.96051,0.70588,1.0,dry_run,True,True,True
DIOR-R,trainval,bridge,13,calibrated_gv_obliquity_proxy,0.64659,0.68179,0.27902,1.0,dry_run,True,True,True
DIOR-R,trainval,chimney,6,calibrated_gv_obliquity_proxy,1.0,1.0,1.0,1.0,dry_run,True,True,True
DIOR-R,trainval,dam,13,calibrated_gv_obliquity_proxy,0.48925,0.42136,0.19911,0.9579,dry_run,True,True,True
DIOR-R,trainval,golffield,6,calibrated_gv_obliquity_proxy,0.92937,0.97843,0.80969,1.0,dry_run,True,True,True
DIOR-R,trainval,groundtrackfield,20,calibrated_gv_obliquity_proxy,0.77245,0.81063,0.48737,1.0,dry_run,True,True,True
DIOR-R,trainval,harbor,44,calibrated_gv_obliquity_proxy,0.66029,0.64925,0.30101,1.0,dry_run,True,True,True
DIOR-R,trainval,overpass,8,calibrated_gv_obliquity_proxy,0.55022,0.56882,0.30669,0.77029,dry_run,True,True,True
DIOR-R,trainval,ship,434,calibrated_gv_obliquity_proxy,0.83508,1.0,0.43974,1.0,dry_run,True,True,True
DIOR-R,trainval,stadium,11,calibrated_gv_obliquity_proxy,0.87519,1.0,0.52691,1.0,dry_run,True,True,True
DIOR-R,trainval,storagetank,44,calibrated_gv_obliquity_proxy,0.99484,1.0,1.0,1.0,dry_run,True,True,True
DIOR-R,trainval,tenniscourt,74,calibrated_gv_obliquity_proxy,0.89947,0.95975,0.60568,1.0,dry_run,True,True,True
DIOR-R,trainval,trainstation,10,calibrated_gv_obliquity_proxy,0.86869,0.95309,0.5688,1.0,dry_run,True,True,True
DIOR-R,trainval,vehicle,182,calibrated_gv_obliquity_proxy,0.74339,0.78429,0.42479,1.0,dry_run,True,True,True
DIOR-R,trainval,windmill,18,calibrated_gv_obliquity_proxy,0.92309,1.0,0.65551,1.0,dry_run,True,True,True
DOTA-v1.0,train,baseball-diamond,4,calibrated_gv_obliquity_proxy,0.9077,0.9041,0.90177,0.9165,dry_run,True,True,True
DOTA-v1.0,train,harbor,258,calibrated_gv_obliquity_proxy,0.60118,0.63377,0.23103,0.95261,dry_run,True,True,True
