image_id,pred_id,gt_id,label,score,iou,angle_error_deg,gt_ar,eligible,d_tip,z025,z050,z100
00001,0,0,golffield,0.9806601405143738,0.7028574347496033,0.7794841831275324,1.2666666666666666,0,0.0086159590077149,0,0,0
00002,0,3,Expressway-toll-station,0.9988176226615906,0.8863717913627625,5.07685137869738,1.0345458477086915,0,0.04577444804803475,0,0,0
00002,1,0,vehicle,0.8356351852416992,0.9076035618782043,3.3557634496080535,2.2857142857142856,1,0.06689787600504611,0,0,0
00002,2,2,vehicle,0.6777352690696716,0.7212919592857361,4.907461093419315,3.1666666666666665,1,0.13544888963968024,0,0,0
00002,3,1,vehicle,0.6528139710426331,0.5444155931472778,14.509535575329043,3.2,1,0.4008658026770915,1,0,0
00003,0,0,trainstation,0.9892844557762146,0.7464064359664917,0.2819477044599591,3.836363613664608,1,0.009439172990530471,0,0,0
00004,0,1,chimney,0.9997978806495667,0.9481078386306763,0.6422153668996189,1.0,0,0.005604268977728594,0,0,0
00004,1,0,chimney,0.9997106194496155,0.9546124339103699,0.8906566677696627,1.0142857142857142,0,0.007883163121979325,0,0,0
00005,0,0,storagetank,0.9993664622306824,0.9450169801712036,0.47601386934753137,1.0701754479894066,0,0.004445462649798075,0,0,0
00005,1,2,vehicle,0.9971902966499329,0.9034988284111023,2.578617325610781,2.2577520510695903,1,0.0507883255274155,0,0,0
00005,2,1,vehicle,0.5954049825668335,0.8760210275650024,2.853010997449346,2.182481681736931,1,0.05431526951551796,0,0,0
00006,0,1,ship,0.9993100166320801,0.8321778774261475,0.9648725926746036,3.3604860392455893,1,0.02829429716957071,0,0,0
00006,1,0,ship,0.9992055296897888,0.8608944416046143,1.2485936418405987,2.289372990718349,1,0.024943113981338944,0,0,0
00007,0,4,ship,0.9996623992919922,0.8874414563179016,0.5179605655187469,3.176470588235294,1,0.014357637739527135,0,0,0
00007,1,11,ship,0.9996222257614136,0.9266040325164795,0.6980316727969631,3.65,1,0.022233335522610222,0,0,0
00007,2,31,ship,0.9993419051170349,0.8782101273536682,1.2312073953083311,2.857142857142857,1,0.030695670133630094,0,0,0
00007,3,15,ship,0.9993159770965576,0.8649390935897827,0.8513011177720493,4.166666666666667,1,0.030953043251023847,0,0,0
00007,4,16,ship,0.9992252588272095,0.9114415645599365,0.5098549522067773,3.0,1,0.013347795274186457,0,0,0
00007,5,63,ship,0.9992210865020752,0.9415113925933838,1.0605755027413668,3.526315789473684,1,0.03263513126232987,0,0,0
00007,6,41,ship,0.9991846680641174,0.8768453598022461,0.12488067430634588,3.111111111111111,1,0.0033904534425250694,0,0,0
00007,7,60,ship,0.9989833235740662,0.9156051874160767,0.1317841743243933,3.0,1,0.0034500985739562774,0,0,0
