unit,cutoff,endpoint,rows,delta_linear_minus_raw,status,cohort,probe,value
orcnn,1.0,AUGRC,48889,-0.012315484898133576,DESCRIPTIVE,,,
orcnn,1.0,Risk@70,48889,-0.022963798751240258,DESCRIPTIVE,,,
orcnn,1.1,AUGRC,44859,-0.002399444924565345,DESCRIPTIVE,,,
orcnn,1.1,Risk@70,44859,-0.005279958168620917,DESCRIPTIVE,,,
orcnn,1.2,AUGRC,43264,-0.000222437468163892,DESCRIPTIVE,,,
orcnn,1.2,Risk@70,43264,-0.0009205172769012893,DESCRIPTIVE,,,
orcnn,1.3,AUGRC,42222,0.0001223066664625197,DESCRIPTIVE,,,
orcnn,1.3,Risk@70,42222,-0.00016086849678523252,DESCRIPTIVE,,,
orcnn,1.4,AUGRC,41095,0.00041626281017432404,DESCRIPTIVE,,,
orcnn,1.4,Risk@70,41095,0.000600296655927611,DESCRIPTIVE,,,
orcnn,1.5,AUGRC,40199,0.0004163069310890166,DESCRIPTIVE,,,
orcnn,1.5,Risk@70,40199,0.0008123112277142602,DESCRIPTIVE,,,
orcnn,1.6,AUGRC,39507,0.00041607951134485857,DESCRIPTIVE,,,
orcnn,1.6,Risk@70,39507,0.0008664969542408058,DESCRIPTIVE,,,
orcnn,1.7,AUGRC,38874,0.00044554460350011704,DESCRIPTIVE,,,
orcnn,1.7,Risk@70,38874,0.0009999971353033266,DESCRIPTIVE,,,
orcnn,1.8,AUGRC,38088,0.0004348709705653542,DESCRIPTIVE,,,
orcnn,1.8,Risk@70,38088,0.0010338318951387399,DESCRIPTIVE,,,
orcnn,1.9,AUGRC,36751,0.00042916992948808727,DESCRIPTIVE,,,
orcnn,1.9,Risk@70,36751,0.0011622834288223804,DESCRIPTIVE,,,
orcnn,2.0,AUGRC,35305,0.00041576834385979866,DESCRIPTIVE,,,
orcnn,2.0,Risk@70,35305,0.001166318746661836,DESCRIPTIVE,,,
orcnn,2.1,AUGRC,33030,0.00035402022752095,DESCRIPTIVE,,,
orcnn,2.1,Risk@70,33030,0.0011087151171827944,DESCRIPTIVE,,,
orcnn,2.2,AUGRC,30585,0.00027185411437512935,DESCRIPTIVE,,,
orcnn,2.2,Risk@70,30585,0.0010199924400100327,DESCRIPTIVE,,,
orcnn,2.3,AUGRC,28735,0.00021524291484786157,DESCRIPTIVE,,,
orcnn,2.3,Risk@70,28735,0.0009091787304085844,DESCRIPTIVE,,,
orcnn,2.4,AUGRC,27047,0.00014857568011615932,DESCRIPTIVE,,,
orcnn,2.4,Risk@70,27047,0.0006290706534440443,DESCRIPTIVE,,,
orcnn,2.5,AUGRC,24986,0.00010866524810711556,DESCRIPTIVE,,,
orcnn,2.5,Risk@70,24986,0.00048214397817997884,DESCRIPTIVE,,,
orcnn,2.6,AUGRC,22990,3.795224913106035e-05,DESCRIPTIVE,,,
orcnn,2.6,Risk@70,22990,0.00040797986911334655,DESCRIPTIVE,,,
orcnn,2.7,AUGRC,20912,6.73919037196373e-05,DESCRIPTIVE,,,
orcnn,2.7,Risk@70,20912,0.0004389990148872397,DESCRIPTIVE,,,
orcnn,2.8,AUGRC,18743,7.799883925704507e-05,DESCRIPTIVE,,,
orcnn,2.8,Risk@70,18743,0.0004136487667601857,DESCRIPTIVE,,,
orcnn,2.9,AUGRC,16718,0.00010806866914121055,DESCRIPTIVE,,,
orcnn,2.9,Risk@70,16718,0.0003310718836920107,DESCRIPTIVE,,,
orcnn,3.0,AUGRC,14765,0.00018306962303307056,DESCRIPTIVE,,,
orcnn,3.0,Risk@70,14765,0.0002518119865224794,DESCRIPTIVE,,,
orcnn,2.1,AUGRC,33030,,DESCRIPTIVE,MAIN,raw_confidence,0.026330781620593387
orcnn,2.1,AUGRC,33030,,DESCRIPTIVE,MAIN,linear_source_frozen,0.026684801848114337
orcnn,2.1,Risk@70,33030,,DESCRIPTIVE,MAIN,raw_confidence,0.052908569281744616
orcnn,2.1,Risk@70,33030,,DESCRIPTIVE,MAIN,linear_source_frozen,0.05401728439892741
orcnn,2.1,Risk@90,33030,,DESCRIPTIVE,MAIN,raw_confidence,0.05506771461113228
orcnn,2.1,Risk@90,33030,,DESCRIPTIVE,MAIN,linear_source_frozen,0.055424564847454796
orcnn,1.0,AUGRC,48889,,DESCRIPTIVE,ALL_AR,raw_confidence,0.04873665202616412
orcnn,1.0,AUGRC,48889,,DESCRIPTIVE,ALL_AR,linear_source_frozen,0.03642116712803054
orcnn,1.0,Risk@70,48889,,DESCRIPTIVE,ALL_AR,raw_confidence,0.09426208622350205
orcnn,1.0,Risk@70,48889,,DESCRIPTIVE,ALL_AR,linear_source_frozen,0.07129828747226179
orcnn,1.0,Risk@90,48889,,DESCRIPTIVE,ALL_AR,raw_confidence,0.09397268246741969
orcnn,1.0,Risk@90,48889,,DESCRIPTIVE,ALL_AR,linear_source_frozen,0.08678547212946543
rtmdet,1.0,AUGRC,51736,-0.013609864980906779,DESCRIPTIVE,,,
rtmdet,1.0,Risk@70,51736,-0.02960365547402343,DESCRIPTIVE,,,
rtmdet,1.1,AUGRC,47370,-0.00031349551959439226,DESCRIPTIVE,,,
rtmdet,1.1,Risk@70,47370,-0.001757385629364172,DESCRIPTIVE,,,
rtmdet,1.2,AUGRC,45528,0.0018335238840106044,DESCRIPTIVE,,,
rtmdet,1.2,Risk@70,45528,0.0027310432928009665,DESCRIPTIVE,,,
rtmdet,1.3,AUGRC,44393,0.002068665787205645,DESCRIPTIVE,,,
rtmdet,1.3,Risk@70,44393,0.0032286023487108004,DESCRIPTIVE,,,
rtmdet,1.4,AUGRC,43201,0.002307619118257217,DESCRIPTIVE,,,
rtmdet,1.4,Risk@70,43201,0.003695046588185029,DESCRIPTIVE,,,
rtmdet,1.5,AUGRC,42273,0.0022643389379458125,DESCRIPTIVE,,,
rtmdet,1.5,Risk@70,42273,0.003638172834839977,DESCRIPTIVE,,,
rtmdet,1.6,AUGRC,41544,0.0022420082110849553,DESCRIPTIVE,,,
rtmdet,1.6,Risk@70,41544,0.0035984266738591855,DESCRIPTIVE,,,
rtmdet,1.7,AUGRC,40854,0.0022720033245764854,DESCRIPTIVE,,,
rtmdet,1.7,Risk@70,40854,0.003685247213382696,DESCRIPTIVE,,,
rtmdet,1.8,AUGRC,39967,0.00230149443053166,DESCRIPTIVE,,,
rtmdet,1.8,Risk@70,39967,0.0038585038010992695,DESCRIPTIVE,,,
rtmdet,1.9,AUGRC,38473,0.0023238066494029735,DESCRIPTIVE,,,
rtmdet,1.9,Risk@70,38473,0.003949259950633895,DESCRIPTIVE,,,
rtmdet,2.0,AUGRC,36876,0.0023823912628393937,DESCRIPTIVE,,,
rtmdet,2.0,Risk@70,36876,0.004118848707807904,DESCRIPTIVE,,,
rtmdet,2.1,AUGRC,34385,0.0023628573819338937,DESCRIPTIVE,,,
