unit,class_id,cohort,rows,delta_augrc,low_reliability,status
orcnn,0,MAIN,4,0.002534556444018534,True,DESCRIPTIVE
orcnn,0,ALL_AR,4125,-0.002317012356828199,False,DESCRIPTIVE
orcnn,1,ALL_AR,310,-0.0014094323378431861,True,DESCRIPTIVE
orcnn,2,MAIN,295,0.0026145821509666878,True,DESCRIPTIVE
orcnn,2,ALL_AR,545,-0.007843353085799122,False,DESCRIPTIVE
orcnn,3,MAIN,53,0.000827605131667429,True,DESCRIPTIVE
orcnn,3,ALL_AR,192,-0.0006471255587348831,True,DESCRIPTIVE
orcnn,4,MAIN,4740,-0.00016657939702529115,False,DESCRIPTIVE
orcnn,4,ALL_AR,8705,-0.00012994856468188237,False,DESCRIPTIVE
orcnn,5,MAIN,7911,9.455220593573149e-05,False,DESCRIPTIVE
orcnn,5,ALL_AR,8084,7.592479982529779e-05,False,DESCRIPTIVE
orcnn,6,MAIN,16995,0.0005178564899900907,False,DESCRIPTIVE
orcnn,6,ALL_AR,17442,0.000520236218797071,False,DESCRIPTIVE
orcnn,7,MAIN,755,-4.367603287234144e-05,False,DESCRIPTIVE
orcnn,7,ALL_AR,1423,1.2107641550044776e-05,False,DESCRIPTIVE
orcnn,8,ALL_AR,229,-0.0002672246228556073,True,DESCRIPTIVE
orcnn,9,ALL_AR,3349,-0.0001568828465768335,False,DESCRIPTIVE
orcnn,10,MAIN,17,0.0036669611104449724,True,DESCRIPTIVE
orcnn,10,ALL_AR,200,-0.0006835696911948429,True,DESCRIPTIVE
orcnn,11,ALL_AR,210,0.0029557149366812863,True,DESCRIPTIVE
orcnn,12,MAIN,2140,0.00029235341215820554,False,DESCRIPTIVE
orcnn,12,ALL_AR,3446,-0.007323121289106831,False,DESCRIPTIVE
orcnn,13,MAIN,92,-0.004395364797688629,True,DESCRIPTIVE
orcnn,13,ALL_AR,540,-0.006946070258405476,False,DESCRIPTIVE
orcnn,14,MAIN,28,0.003790168181063251,True,DESCRIPTIVE
orcnn,14,ALL_AR,89,-0.032108962943804414,True,DESCRIPTIVE
rtmdet,0,MAIN,2,0.0,True,DESCRIPTIVE
rtmdet,0,ALL_AR,4180,-0.001698840618831042,False,DESCRIPTIVE
rtmdet,1,ALL_AR,316,0.0019763495513099028,True,DESCRIPTIVE
rtmdet,2,MAIN,326,0.0045871680783868204,True,DESCRIPTIVE
rtmdet,2,ALL_AR,574,-0.009527468532596547,False,DESCRIPTIVE
rtmdet,3,MAIN,50,0.002151588084092746,True,DESCRIPTIVE
rtmdet,3,ALL_AR,188,0.002152209894038557,True,DESCRIPTIVE
rtmdet,4,MAIN,5289,-0.00012967868140917327,False,DESCRIPTIVE
rtmdet,4,ALL_AR,9897,-0.00011984931674438593,False,DESCRIPTIVE
rtmdet,5,MAIN,8123,0.0010083238343315433,False,DESCRIPTIVE
rtmdet,5,ALL_AR,8353,0.000949088069478278,False,DESCRIPTIVE
rtmdet,6,MAIN,17465,0.0012475982882121477,False,DESCRIPTIVE
rtmdet,6,ALL_AR,17970,0.001226477774764971,False,DESCRIPTIVE
rtmdet,7,MAIN,767,-7.866561657940419e-05,False,DESCRIPTIVE
rtmdet,7,ALL_AR,1422,-0.00011862811495145023,False,DESCRIPTIVE
rtmdet,8,MAIN,1,0.0,True,DESCRIPTIVE
rtmdet,8,ALL_AR,218,0.0005777971363668671,True,DESCRIPTIVE
rtmdet,9,ALL_AR,3974,-0.0015279574262296591,False,DESCRIPTIVE
rtmdet,10,MAIN,10,-7.049841624636594e-05,True,DESCRIPTIVE
rtmdet,10,ALL_AR,184,0.0013367353711354335,True,DESCRIPTIVE
rtmdet,11,ALL_AR,204,0.00513183378181678,True,DESCRIPTIVE
rtmdet,12,MAIN,2231,0.007658169111555015,False,DESCRIPTIVE
rtmdet,12,ALL_AR,3600,-0.003812976606521447,False,DESCRIPTIVE
rtmdet,13,MAIN,93,-0.0028486107564862015,True,DESCRIPTIVE
rtmdet,13,ALL_AR,546,-0.005164059467549616,False,DESCRIPTIVE
rtmdet,14,MAIN,28,-9.18160010148078e-05,True,DESCRIPTIVE
rtmdet,14,ALL_AR,110,-0.022670110735161036,True,DESCRIPTIVE
