image_id,d_tip,z_0_25,z_0_50,z_1_00
100000001,0.0895768717359414,0.0,0.0,0.0
100000004,0.11685157165815213,0.0,0.0,0.0
100000007,0.03714612445674416,0.0,0.0,0.0
100000008,0.06849433143595227,0.0,0.0,0.0
100000009,0.10407651213180516,0.0,0.0,0.0
100000010,0.007130707583140022,0.0,0.0,0.0
100001290,0.08776853325710778,0.0,0.0,0.0
100001293,0.04658771194009288,0.0,0.0,0.0
100001295,0.00971909489811212,0.0,0.0,0.0
100001296,0.03805908667154238,0.0,0.0,0.0
100001299,0.034728284423478875,0.0,0.0,0.0
100001300,0.030184530858683205,0.0,0.0,0.0
100001302,0.07318609280087338,0.0,0.0,0.0
100001303,0.04445007756723918,0.0,0.0,0.0
100001311,0.03470873498663227,0.0,0.0,0.0
100001312,0.08732535544122362,0.16666666666666666,0.0,0.0
100001314,0.02508714516849085,0.0,0.0,0.0
100001317,0.0350971240690169,0.0,0.0,0.0
100001320,0.03691629006358467,0.0,0.0,0.0
100001323,0.0316221751607701,0.0,0.0,0.0
100001335,0.022682436711700837,0.0,0.0,0.0
100001336,0.018853688521079586,0.0,0.0,0.0
100001338,0.023921942707530505,0.0,0.0,0.0
100001341,0.01686228335397956,0.0,0.0,0.0
100001344,0.05056959205653737,0.0,0.0,0.0
100001345,0.11933660042048101,0.0,0.0,0.0
100001346,0.051394618702981676,0.0,0.0,0.0
100001350,0.0009509261464368515,0.0,0.0,0.0
100001352,0.0670840310057062,0.0,0.0,0.0
100001353,0.03949451529220518,0.0,0.0,0.0
100001354,0.0408542814934661,0.0,0.0,0.0
100001357,0.050482219478988725,0.0,0.0,0.0
100001360,0.03591348472626192,0.0,0.0,0.0
100001361,0.04011595268161891,0.0,0.0,0.0
100001362,0.03931805893745647,0.0,0.0,0.0
100001363,0.025505783521500534,0.0,0.0,0.0
100001365,0.07842663159945903,0.0,0.0,0.0
100001366,0.04778210074467931,0.0,0.0,0.0
100001368,0.04701072831440157,0.0,0.0,0.0
100001370,0.09183623932317272,0.0,0.0,0.0
100001371,0.017569578631173477,0.0,0.0,0.0
100001372,0.0028022654070328167,0.0,0.0,0.0
100001373,0.010437429466086138,0.0,0.0,0.0
100001376,0.021040072796621158,0.0,0.0,0.0
100001378,0.04328999309503094,0.0,0.0,0.0
100001386,0.13663077694993744,0.0,0.0,0.0
100001393,0.022052646398298167,0.0,0.0,0.0
100001395,0.0482739634813324,0.0,0.0,0.0
100001397,0.048829691586142095,0.0,0.0,0.0
100001398,0.005523749961386802,0.0,0.0,0.0
100001400,0.007595653871487754,0.0,0.0,0.0
100001401,0.1241741343011123,0.0,0.0,0.0
100001404,0.012927802809984665,0.0,0.0,0.0
100001405,0.030621833727543055,0.0,0.0,0.0
100001413,0.01809706428461516,0.0,0.0,0.0
100001418,0.037036680734181725,0.0,0.0,0.0
100001419,0.036225638565128546,0.0,0.0,0.0
100001421,0.004268794363452597,0.0,0.0,0.0
100001428,0.0190904980512833,0.0,0.0,0.0
100001435,0.0479439021772383,0.0,0.0,0.0
100001437,0.05293762397404897,0.0,0.0,0.0
100001438,0.0060155663913374485,0.0,0.0,0.0
100001466,0.052916595933821524,0.0,0.0,0.0
100001473,0.05253041881786144,0.0,0.0,0.0
100001478,0.0153830724310655,0.0,0.0,0.0
100001479,0.025363412636542848,0.0,0.0,0.0
100001485,0.04002981136654233,0.0,0.0,0.0
100001488,0.03513454707204986,0.0,0.0,0.0
100001492,0.04128090455254332,0.0,0.0,0.0
100001493,0.025812129000078857,0.0,0.0,0.0
100001494,0.04816054085419308,0.0,0.0,0.0
100001496,0.03609858359133216,0.0,0.0,0.0
100001498,0.021753442796093248,0.0,0.0,0.0
100001508,0.0023027346022145706,0.0,0.0,0.0
100001523,0.06646978167980988,0.0,0.0,0.0
100001525,0.04510091586966602,0.0,0.0,0.0
100001526,0.06813952087500934,0.0,0.0,0.0
100001530,0.04648976913160126,0.0,0.0,0.0
100001546,0.03137731295178269,0.0,0.0,0.0
100001547,0.011003499481008724,0.0,0.0,0.0
100001550,0.028743969802220253,0.0,0.0,0.0
100001557,0.0565764652012979,0.14285714285714285,0.0,0.0
100001559,0.039411359697107275,0.0,0.0,0.0
100001563,0.044225159604999925,0.0,0.0,0.0
100001566,0.025130582368497068,0.0,0.0,0.0
100001575,0.02282381695249202,0.0,0.0,0.0
100001577,0.014284454622342187,0.0,0.0,0.0
100001578,0.03806574457172979,0.0,0.0,0.0
100001587,0.025248585557529596,0.0,0.0,0.0
100001590,0.0011555706738714821,0.0,0.0,0.0
100001601,0.04378600368600257,0.0,0.0,0.0
100001606,0.018466635850224507,0.0,0.0,0.0
100001607,0.03624844503408431,0.0,0.0,0.0
100001611,0.024003479365461655,0.0,0.0,0.0
100001614,0.044593817434456264,0.0,0.0,0.0
100001620,0.012023726875288531,0.0,0.0,0.0
100001623,0.012972907266425728,0.0,0.0,0.0
100001626,0.05728255221164787,0.0,0.0,0.0
