family,image_id,prediction_id,gt_id,score,iou,angle_error_deg,gt_ar,d_tip,z_0_25,z_0_50,z_1_00
ap,100000001,0,0,0.9996578693389893,0.9063780104669295,1.0341242744207728,4.465492060158126,0.04029636265357972,0,0,0
ap,100000004,0,0,0.9994587302207947,0.9131360145492782,0.5560883798988404,4.369572094015317,0.02120426791692658,0,0,0
ap,100000007,0,0,0.9957472681999207,0.8652000159567648,1.4409662716351095,3.7423453001213334,0.04705429393288731,0,0,0
ap,100000008,0,0,0.9932724237442017,0.8465419378192396,1.5896536602725209,6.4783056961269,0.08985776342257454,0,0,0
ap,100000009,0,0,0.9994543194770813,0.8875470174758857,1.7617419821004592,4.295554208293306,0.06602987017491457,0,0,0
ap,100000010,0,0,0.9984017014503479,0.9530695897407343,0.39306878213841534,4.434592727420752,0.0152112974508932,0,0,0
ap,100001290,0,0,0.9995465874671936,0.9158187878910246,0.6998628174441636,3.6191171583035633,0.022103046393125672,0,0,0
ap,100001293,0,0,0.9997020363807678,0.8588874092518367,1.1621182494646767,4.809662978287995,0.048773347162359905,0,0,0
ap,100001295,0,0,0.9997691512107849,0.8780720186369633,0.8206022981534282,4.067003774214401,0.029123249353786518,0,0,0
ap,100001295,1,1,0.9992423057556152,0.9394926081320361,0.16017826066002488,3.98470017788095,0.005569882439592002,0,0,0
ap,100001295,2,2,0.9986718893051147,0.8652827675672232,0.33975401245751874,5.369298057083268,0.015919408755613717,0,0,0
ap,100001296,0,0,0.9998904466629028,0.9026754784421146,0.6300334353519988,7.5407335627026395,0.041458712747699016,0,0,0
ap,100001296,1,1,0.9998601675033569,0.9330599477468333,0.5877173915495321,7.075815185014127,0.03628981709307144,0,0,0
ap,100001296,2,2,0.9998158812522888,0.8953411013633443,0.3641201495139408,8.607246593780681,0.027349752872048317,0,0,0
ap,100001296,3,3,0.999803364276886,0.9458955959749266,0.3536458277687332,5.813127490866639,0.017940023223956447,0,0,0
