ar,dtheta_050,dtheta_075
1.0,inf,25.528450012207045
1.05,inf,25.430531776688387
1.1,inf,25.161912063315796
1.15,inf,24.763236331937826
1.2,inf,24.27257537841797
1.25,inf,23.72394561767578
1.3,inf,23.14167022705078
1.35,inf,22.544288635253906
1.4,inf,21.945533752441406
1.45,inf,21.354331970214844
1.5,inf,20.775489807128906
1.55,75.40775299072266,20.214500427246094
1.6,69.63581085205078,19.67273712158203
1.65,65.3799819946289,19.15088653564453
1.7,61.927528381347656,18.649635314941406
1.75,58.982505798339844,18.168983459472656
1.8,56.27368927001953,17.70824432373047
1.85,53.764686584472656,17.267417907714844
1.9,51.457557678222656,16.84581756591797
1.95,49.34406280517578,16.44207000732422
2.0,47.408409118652344,16.05480194091797
2.1,44.003334045410156,15.329704284667969
2.2,41.110496520996094,14.663658142089844
2.3,38.62140655517578,14.049797058105469
2.4,36.455039978027344,13.483314514160156
2.5,34.54753875732422,12.959403991699219
2.6,32.852210998535156,12.473945617675781
2.7,31.33403778076172,12.022132873535156
2.8,29.96349334716797,11.601905822753906
2.9,28.718605041503906,11.209144592285156
3.0,27.58289337158203,10.841789245605469
3.1,26.539878845214844,10.497093200683594
3.2,25.579261779785156,10.173683166503906
3.3,24.69005584716797,9.869499206542969
3.4,23.865394592285156,9.582481384277344
3.5,23.09703826904297,9.311943054199219
3.6,22.378807067871094,9.055824279785156
3.7,21.70726776123047,8.813438415527344
3.8,21.07624053955078,8.583412170410156
3.9,20.48297882080078,8.365058898925781
4.0,19.923362731933594,8.157691955566406
4.25,18.655128479003906,7.681159973144531
4.5,17.54413604736328,7.256813049316406
4.75,16.562232971191406,6.877098083496094
5.0,15.686759948730469,6.534461975097656
5.25,14.901924133300781,6.224784851074219
5.5,14.193305969238281,5.942573547363281
5.75,13.550605773925781,5.685081481933594
6.0,12.964210510253906,5.448875427246094
6.25,12.427253723144531,5.231895446777344
6.5,11.934242248535156,5.030708312988281
6.75,11.478996276855469,4.845314025878906
7.0,11.058082580566406,4.672279357910156
7.25,10.666694641113281,4.511604309082031
7.5,10.302772521972656,4.361228942871094
7.75,9.962882995605469,4.221153259277344
8.0,9.645652770996094,4.089317321777344
8.153072,9.460945129394531,4.012413024902344
8.309073,9.279670715332031,3.9375686645507812
8.468059,9.102516174316406,3.8634109497070312
8.630086,8.928108215332031,3.7913131713867188
8.795214,8.757820129394531,3.7199020385742188
8.963502,8.590965270996094,3.6505508422851562
9.13501,8.426856994628906,3.5818862915039062
9.309799,8.266181945800781,3.5145950317382812
9.487933,8.108940124511719,3.4486770629882812
9.669475,7.954444885253906,3.3841323852539062
9.85449,7.803382873535156,3.3209609985351562
10.043046,7.655067443847656,3.2584762573242188
10.23521,7.509498596191406,3.1973648071289062
10.43105,7.366676330566406,3.1376266479492188
10.630638,7.226600646972656,3.0785751342773438
10.834044,7.089271545410156,3.0208969116210938
11.041343,6.955375671386719,2.9639053344726562
11.252608,6.822853088378906,2.9082870483398438
11.467915,6.693763732910156,2.8540420532226562
11.687342,6.566734313964844,2.8004837036132812
11.910968,6.442451477050781,2.7476119995117188
12.138872,6.320228576660156,2.6961135864257812
12.371137,6.200752258300781,2.6459884643554688
12.607847,6.083335876464844,2.5958633422851562
12.849085,5.968666076660156,2.5471115112304688
13.09494,5.855369567871094,2.4997329711914062
13.345498,5.744819641113281,2.4523544311523438
13.600851,5.636329650878906,2.4063491821289062
13.861089,5.529899597167969,2.3617172241210938
14.126307,5.424842834472656,2.3170852661132812
14.3966,5.322532653808594,2.2738265991210938
14.672065,5.222282409667969,2.2312545776367188
14.9528,5.123405456542969,2.1893692016601562
15.238907,5.026588439941406,2.1481704711914062
15.530488,4.931831359863281,2.1076583862304688
15.827648,4.839134216308594,2.0678329467773438
16.130494,4.747810363769531,2.0293807983398438
16.439135,4.657859802246094,1.9909286499023438
16.753682,4.569969177246094,1.9538497924804688
17.074246,4.484138488769531,1.9174575805664062
17.400945,4.399681091308594,1.8810653686523438
17.733895,4.316596984863281,1.8460464477539062
18.073215,4.234886169433594,1.8110275268554688
18.419028,4.155235290527344,1.7773818969726562
18.771457,4.076957702636719,1.7437362670898438
19.13063,4.000053405761719,1.7114639282226562
19.496676,3.9245223999023438,1.6791915893554688
19.869725,3.8510513305664062,1.6476058959960938
20.249912,3.7782669067382812,1.6167068481445312
20.637374,3.7075424194335938,1.5864944458007812
21.032249,3.6375045776367188,1.5562820434570312
21.43468,3.5688400268554688,1.5274429321289062
21.844811,3.5015487670898438,1.4986038208007812
22.26279,3.4356307983398438,1.4704513549804688
22.688766,3.3710861206054688,1.4429855346679688
23.122893,3.3079147338867188,1.4155197143554688
23.565326,3.2454299926757812,1.3894271850585938
24.016225,3.1843185424804688,1.3633346557617188
24.475751,3.1245803833007812,1.3372421264648438
24.94407,3.0655288696289062,1.3125228881835938
25.42135,3.0078506469726562,1.2878036499023438
25.907762,2.9515457153320312,1.2637710571289062
26.403481,2.8959274291992188,1.2397384643554688
26.908685,2.8416824340820312,1.2163925170898438
27.423556,2.7881240844726562,1.1937332153320312
27.948278,2.7359390258789062,1.1710739135742188
28.48304,2.6844406127929688,1.1491012573242188
29.028035,2.6336288452148438,1.1278152465820312
29.583457,2.5841903686523438,1.1065292358398438
30.149507,2.5354385375976562,1.0859298706054688
30.726387,2.4880599975585938,1.0653305053710938
31.314306,2.4413681030273438,1.0454177856445312
31.913474,2.3953628540039062,1.0261917114257812
32.524106,2.3500442504882812,1.0062789916992188
33.146422,2.3060989379882812,0.9877395629882812
33.780646,2.2628402709960938,0.9692001342773438
34.427004,2.2202682495117188,0.9506607055664062
35.085731,2.1783828735351562,0.9328079223632812
35.757061,2.1378707885742188,0.9156417846679688
36.441236,2.0973587036132812,0.8984756469726562
37.138503,2.0582199096679688,0.8813095092773438
37.849111,2.0190811157226562,0.8648300170898438
38.573315,1.9813156127929688,0.8490371704101562
39.311377,1.9442367553710938,0.8325576782226562
40.063561,1.9078445434570312,0.8174514770507812
40.830137,1.8714523315429688,0.8016586303710938
41.611381,1.8364334106445312,0.7865524291992188
42.407573,1.8021011352539062,0.7721328735351562
43.218999,1.7684555053710938,0.7577133178710938
44.045951,1.7348098754882812,0.7432937622070312
44.888726,1.7025375366210938,0.7295608520507812
45.747627,1.6702651977539062,0.7158279418945312
46.622962,1.6393661499023438,0.7020950317382812
47.515045,1.6084671020507812,0.6890487670898438
48.424198,1.5782546997070312,0.6760025024414062
49.350746,1.5487289428710938,0.6636428833007812
50.295023,1.5192031860351562,0.6512832641601562
51.257368,1.4910507202148438,0.6389236450195312
52.238126,1.4628982543945312,0.6265640258789062
53.237651,1.4354324340820312,0.6148910522460938
54.2563,1.4086532592773438,0.6032180786132812
55.294439,1.3818740844726562,0.5922317504882812
56.352443,1.3557815551757812,0.5812454223632812
57.43069,1.3303756713867188,0.5702590942382812
58.529569,1.3056564331054688,0.5592727661132812
59.649474,1.2809371948242188,0.5489730834960938
60.790806,1.2569046020507812,0.5386734008789062
61.953977,1.2335586547851562,0.5283737182617188
63.139405,1.2102127075195312,0.5187606811523438
64.347514,1.1875534057617188,0.5084609985351562
65.578739,1.1648941040039062,0.49953460693359375
66.833522,1.1429214477539062,0.48992156982421875
68.112314,1.1216354370117188,0.48099517822265625
69.415575,1.1003494262695312,0.47138214111328125
70.743773,1.0797500610351562,0.46245574951171875
72.097384,1.0598373413085938,0.45421600341796875
73.476895,1.0399246215820312,0.44528961181640625
74.882801,1.0200119018554688,0.43704986572265625
76.315608,1.0014724731445312,0.42881011962890625
77.775831,0.9822463989257812,0.42125701904296875
79.263993,0.9637069702148438,0.41301727294921875
80.78063,0.9458541870117188,0.40546417236328125
82.326287,0.9280014038085938,0.39791107177734375
83.901518,0.9108352661132812,0.39035797119140625
85.506889,0.8936691284179688,0.38280487060546875
87.142977,0.8765029907226562,0.37593841552734375
88.810371,0.8600234985351562,0.36838531494140625
90.509668,0.8442306518554688,0.36151885986328125
92.24148,0.8284378051757812,0.35465240478515625
94.006428,0.8126449584960938,0.34847259521484375
95.805146,0.7975387573242188,0.34160614013671875
97.638282,0.7824325561523438,0.33542633056640625
99.506492,0.7680130004882812,0.32924652099609375
101.410449,0.7535934448242188,0.32306671142578125
103.350836,0.7391738891601562,0.31688690185546875
105.328351,0.7254409790039062,0.31070709228515625
107.343703,0.7117080688476562,0.30521392822265625
109.397617,0.6986618041992188,0.29903411865234375
111.49083,0.6849288940429688,0.29354095458984375
113.624096,0.6725692749023438,0.28804779052734375
115.798179,0.6595230102539062,0.28255462646484375
118.01386,0.6471633911132812,0.27774810791015625
120.271937,0.6354904174804688,0.27225494384765625
122.57322,0.6231307983398438,0.26744842529296875
124.918535,0.6114578247070312,0.26195526123046875
127.308726,0.5997848510742188,0.25714874267578125
129.744651,0.5887985229492188,0.25234222412109375
