source_cell,target_cell,setting,threshold,empirical_risk,coverage,violation_rate,strict_shift_guarantee_claimed,source
DOTA-v1.0/20,DIOR-R/22,leave-dataset_or_leave-detector_audit,0.15937856553173954,4.676434907983968,0.946822697872908,0.0,False,052_full_real_matched_tables
DOTA-v1.0/20,FAIR1M-v1.0/24,leave-dataset_or_leave-detector_audit,0.15937856553173954,4.695843234055584,0.9150233713117149,0.0,False,052_full_real_matched_tables
DOTA-v1.0/20,SODA-A/23,leave-dataset_or_leave-detector_audit,0.15937856553173954,5.277010725103452,0.9169873681351021,0.0,False,052_full_real_matched_tables
DOTA-v1.0/20,DIOR-R/3,leave-dataset_or_leave-detector_audit,0.15937856553173954,4.56492936641277,0.9884642890457386,0.0,False,052_full_real_matched_tables
DOTA-v1.0/20,DIOR-R/61,leave-dataset_or_leave-detector_audit,0.15937856553173954,4.29538663635977,0.9840959138732567,0.0,False,052_full_real_matched_tables
DOTA-v1.0/20,SODA-A/4,leave-dataset_or_leave-detector_audit,0.15937856553173954,5.1521254103117595,0.9536968223465585,0.0,False,052_full_real_matched_tables
DIOR-R/22,DOTA-v1.0/20,leave-dataset_or_leave-detector_audit,0.15952939851328607,1.3689458149298919,0.9382716049382716,0.0,False,052_full_real_matched_tables
DIOR-R/22,FAIR1M-v1.0/24,leave-dataset_or_leave-detector_audit,0.15952939851328607,4.696242219686114,0.9148225241016652,0.0,False,052_full_real_matched_tables
DIOR-R/22,SODA-A/23,leave-dataset_or_leave-detector_audit,0.15952939851328607,5.277023642634535,0.916848307666436,0.0,False,052_full_real_matched_tables
DIOR-R/22,DIOR-R/3,leave-dataset_or_leave-detector_audit,0.15952939851328607,4.56492936641277,0.9884642890457386,0.0,False,052_full_real_matched_tables
DIOR-R/22,DIOR-R/61,leave-dataset_or_leave-detector_audit,0.15952939851328607,4.29538663635977,0.9840959138732567,0.0,False,052_full_real_matched_tables
DIOR-R/22,SODA-A/4,leave-dataset_or_leave-detector_audit,0.15952939851328607,5.152061230001425,0.9536490460669504,0.0,False,052_full_real_matched_tables
FAIR1M-v1.0/24,DOTA-v1.0/20,leave-dataset_or_leave-detector_audit,0.13451395043709402,1.3695793930790767,0.9753086419753086,0.0,False,052_full_real_matched_tables
FAIR1M-v1.0/24,DIOR-R/22,leave-dataset_or_leave-detector_audit,0.13451395043709402,4.684638504870752,0.9604587584183504,0.0,False,052_full_real_matched_tables
FAIR1M-v1.0/24,SODA-A/23,leave-dataset_or_leave-detector_audit,0.13451395043709402,5.259787854824933,0.9403462929066225,0.0,False,052_full_real_matched_tables
FAIR1M-v1.0/24,DIOR-R/3,leave-dataset_or_leave-detector_audit,0.13451395043709402,4.577103877866012,0.9904853704797736,0.0,False,052_full_real_matched_tables
FAIR1M-v1.0/24,DIOR-R/61,leave-dataset_or_leave-detector_audit,0.13451395043709402,4.309983896370058,0.9878272571568387,0.0,False,052_full_real_matched_tables
FAIR1M-v1.0/24,SODA-A/4,leave-dataset_or_leave-detector_audit,0.13451395043709402,5.148685887619719,0.9621505695994225,0.0,False,052_full_real_matched_tables
SODA-A/23,DOTA-v1.0/20,leave-dataset_or_leave-detector_audit,0.12431911813712106,1.3702906595155993,0.9794238683127572,0.0,False,052_full_real_matched_tables
SODA-A/23,DIOR-R/22,leave-dataset_or_leave-detector_audit,0.12431911813712106,4.697183329591406,0.9651930386077215,0.0,False,052_full_real_matched_tables
SODA-A/23,FAIR1M-v1.0/24,leave-dataset_or_leave-detector_audit,0.12431911813712106,4.629364853506915,0.9610539000876425,0.0,False,052_full_real_matched_tables
