cell_id,baseline,available,unavailable_reason,NRC,AURC,Risk@70,Risk@90,bootstrap_CI,uses_circular_statistics,source
DOTA-v1.0/20,score-only,True,,1.0221122961591942,1.4159083452233598,1.3629499204236826,1.3727769302105712,not_bootstrapped_full_real,False,052_full_real_matched_tables
DOTA-v1.0/20,geometry-aware selector,True,,0.9625736671084815,1.333430869849233,1.366992185926734,1.3690106581064168,not_bootstrapped_full_real,False,052_full_real_matched_tables
DIOR-R/22,score-only,True,,1.1265263436503445,5.360120048137525,4.96863270096292,4.747927081816249,not_bootstrapped_full_real,False,052_full_real_matched_tables
DIOR-R/22,geometry-aware selector,True,,0.8135317976151141,3.8708620732864114,4.8269402212348975,4.717091334693408,not_bootstrapped_full_real,False,052_full_real_matched_tables
FAIR1M-v1.0/24,score-only,True,,1.5061433489461975,6.974294777058484,5.1273588416612395,4.744909568390573,not_bootstrapped_full_real,False,052_full_real_matched_tables
FAIR1M-v1.0/24,geometry-aware selector,True,,1.4364825781103188,6.651726045107132,5.061794927992885,4.724434319230143,not_bootstrapped_full_real,False,052_full_real_matched_tables
SODA-A/23,score-only,True,,1.6733216990822697,8.75221203355408,5.78078706959287,5.327353880299207,not_bootstrapped_full_real,False,052_full_real_matched_tables
SODA-A/23,geometry-aware selector,True,,1.4693131422868195,7.685157117148939,5.65687926516215,5.292691140966047,not_bootstrapped_full_real,False,052_full_real_matched_tables
DIOR-R/3,score-only,True,,1.120476976482883,5.146425035523881,4.573252994316429,4.534584222282656,not_bootstrapped_full_real,False,052_full_real_matched_tables
DIOR-R/3,geometry-aware selector,True,,0.5031212906003447,2.310869442385419,3.1130383220047357,4.397592219958958,not_bootstrapped_full_real,False,052_full_real_matched_tables
DIOR-R/61,score-only,True,,1.0499881548630563,4.593390026326983,3.8780113362375763,4.101425449731473,not_bootstrapped_full_real,False,052_full_real_matched_tables
DIOR-R/61,geometry-aware selector,True,,0.7736521525592578,3.3845011155155196,3.7524696939484308,4.029863765254682,not_bootstrapped_full_real,False,052_full_real_matched_tables
SODA-A/4,score-only,True,,1.3806883882981247,7.108317356768985,5.542542446419298,5.203826312705451,not_bootstrapped_full_real,False,052_full_real_matched_tables
SODA-A/4,geometry-aware selector,True,,0.7464188589794077,3.8428527216362567,5.406278316929068,5.192002425629782,not_bootstrapped_full_real,False,052_full_real_matched_tables
DIOR-R/22,TTA circular variance,True,,0.9604345613282965,4.642841549371284,3.2410941416200783,3.2776358892038346,not_bootstrapped_full_real,True,052_tta_circular_variance_full
DIOR-R/3,TTA circular variance,True,,0.4944950304113317,2.2712484574553837,2.413655458112597,2.751795827421715,not_bootstrapped_full_real,True,052_tta_circular_variance_full
DIOR-R/22,TTA circular variance,True,,0.8268015257421968,3.4616483002106486,2.665837029280843,2.783424700521959,not_bootstrapped_full_real,True,052_tta_circular_variance_full
DIOR-R/61,TTA circular variance,True,,0.8955888306308132,3.870845038595519,3.7492866482620704,3.828759240877641,not_bootstrapped_full_real,True,052_tta_circular_variance_full
FAIR1M-v1.0/5,TTA circular variance,True,,0.6774447462682955,2.879630828518535,3.0045649566208343,3.129405554917522,not_bootstrapped_full_real,True,052_tta_circular_variance_full
FAIR1M-v1.0/24,TTA circular variance,True,,0.6793657850899244,3.220972425861202,3.617621959066225,3.7262578782722273,not_bootstrapped_full_real,True,052_tta_circular_variance_full
FAIR1M-v1.0/5,TTA circular variance,True,,0.6845390057129149,2.864024224284836,2.948079800306784,3.127405955966696,not_bootstrapped_full_real,True,052_tta_circular_variance_full
FAIR1M-v1.0/24,TTA circular variance,True,,0.6863497916856814,3.161810828403853,3.57084372833519,3.6417753090975182,not_bootstrapped_full_real,True,052_tta_circular_variance_full
FAIR1M-v1.0/24,TTA circular variance,True,,0.7002965709857324,3.1391101802878465,3.521105588806482,3.7350133437324304,not_bootstrapped_full_real,True,052_tta_circular_variance_full
SODA-A/4,TTA circular variance,True,,1.1202314624129228,5.605232455177629,5.163583376903541,4.8031534102383,not_bootstrapped_full_real,True,052_tta_circular_variance_full
SODA-A/4,TTA circular variance,True,,1.2246728350655076,7.61939112234957,6.76034365585478,6.122164348980676,not_bootstrapped_full_real,True,052_tta_circular_variance_full
SODA-A/4,TTA circular variance,True,,1.1987910032487377,5.169266129085391,4.477716104121492,4.283560391769562,not_bootstrapped_full_real,True,052_tta_circular_variance_full
SODA-A/23,TTA circular variance,True,,1.0654459531572908,5.455732511014678,3.634500392067007,3.734403178761951,not_bootstrapped_full_real,True,052_tta_circular_variance_full
SODA-A/4,TTA circular variance,True,,0.9647810525048369,5.256120239670164,5.465525224563122,5.608039468324643,not_bootstrapped_full_real,True,052_tta_circular_variance_full
SODA-A/23,TTA circular variance,True,,1.2217346730088008,6.621814236122954,4.140674999497651,4.066725486022795,not_bootstrapped_full_real,True,052_tta_circular_variance_full
SODA-A/23,TTA circular variance,True,,1.082343343027179,5.153176905095436,3.585710963893399,3.6558321412862336,not_bootstrapped_full_real,True,052_tta_circular_variance_full
SODA-A/23,TTA circular variance,True,,1.1745250631843163,6.185846794604738,4.038912246892774,4.00550632332003,not_bootstrapped_full_real,True,052_tta_circular_variance_full
SODA-A/23,TTA circular variance,True,,1.1293277020328076,6.233207078086583,4.091075717782361,4.04719029394188,not_bootstrapped_full_real,True,052_tta_circular_variance_full
SODA-A/23,TTA circular variance,True,,1.0773579470046364,5.580894935288981,3.7716138477977337,3.837671321700954,not_bootstrapped_full_real,True,052_tta_circular_variance_full
SODA-A/23,TTA circular variance,True,,1.0917831389549602,5.908915785990963,3.9946287958993745,4.030119013014668,not_bootstrapped_full_real,True,052_tta_circular_variance_full
all,MC dropout,False,No verified 052 real artifact for this uncertainty signal; not fabricated.,nan,nan,nan,nan,,,052_manifest_absence
all,checkpoint ensemble,False,No verified 052 real artifact for this uncertainty signal; not fabricated.,nan,nan,nan,nan,,,052_manifest_absence
all,native entropy / angle quality,False,No verified 052 real artifact for this uncertainty signal; not fabricated.,nan,nan,nan,nan,,,052_manifest_absence
all,GWD/KLD distribution uncertainty,False,No verified 052 real artifact for this uncertainty signal; not fabricated.,nan,nan,nan,nan,,,052_manifest_absence
