cell_id,dataset,baseline_id,perturbation,magnitude,n_predictions,n_matched,mAP50,AP75,mean_angle_risk,NRC_detection_score,AURC_detection_score,Delta_mAP50,Delta_angle_risk,angle_error_distribution_mean,geometry_aware_selector_NRC,source,synthetic_or_proxy
DOTA-v1.0/20,DOTA-v1.0,20,score_noise,0.5,2428,486,0.01157060945674542,0.003963963073549714,1.3852766966447214,1.000000465363285,1.3852773413016355,-0.001590167331926606,0.0,1.3852766966447214,nan,052_real_schema_rematched,False
DOTA-v1.0/20,DOTA-v1.0,20,center_shift,8.0,2428,117,0.0013343690806442592,2.2788635015959927e-05,1.6248266295450833,0.827678042003314,1.3448333233367185,-0.011826407708027767,0.23954993290036186,1.6248266295450833,nan,052_real_schema_rematched,False
DOTA-v1.0/20,DOTA-v1.0,20,scale,1.15,2428,483,0.013038720478915761,0.0012253278060569265,1.3906497424132676,1.0190166518743464,1.4170952444438902,-0.00012205630975626464,0.005373045768546136,1.3906497424132676,nan,052_real_schema_rematched,False
DIOR-R/22,DIOR-R,22,score_noise,0.5,212448,29994,0.6323686239446284,0.4723678806984962,4.758095608105211,1.1082845517620008,5.273323858269628,-0.06399179375706876,0.0,4.758095608105211,nan,052_real_schema_rematched,False
DIOR-R/22,DIOR-R,22,center_shift,8.0,212448,11778,0.5308950833247046,0.27574959920223113,7.863535966025603,0.9343929040788767,7.3476322076233584,-0.16546533437699262,3.1054403579203926,7.863535966025603,nan,052_real_schema_rematched,False
DIOR-R/22,DIOR-R,22,scale,1.15,212448,29368,0.6745738209493506,0.1579913637213463,4.748832106614378,1.1316337321519174,5.373938600170881,-0.02178659675234662,-0.00926350149083266,4.748832106614378,nan,052_real_schema_rematched,False
FAIR1M-v1.0/24,FAIR1M-v1.0,24,score_noise,0.5,484332,54768,0.29106817367867194,0.20050210054807022,4.630565066690488,1.3768478866143057,6.375583725902829,-0.0738842975260563,0.0,4.630565066690488,nan,052_real_schema_rematched,False
FAIR1M-v1.0/24,FAIR1M-v1.0,24,center_shift,8.0,484332,10200,0.23396360095350402,0.02598549236217675,10.19840699216692,1.0544635342996154,10.75384828118624,-0.13098887025122422,5.567841925476432,10.19840699216692,nan,052_real_schema_rematched,False
FAIR1M-v1.0/24,FAIR1M-v1.0,24,scale,1.15,484332,53146,0.35460883888762756,0.08744406458184167,4.6331016056215875,1.510473164243401,6.998175642504421,-0.01034363231710067,0.002536538931099841,4.6331016056215875,nan,052_real_schema_rematched,False
SODA-A/23,SODA-A,23,score_noise,0.5,1449379,309218,0.5476006596511599,0.20493197667600285,5.230441963642865,1.5328979631441717,8.017733832411949,-0.06429196713706653,8.881784197001252e-16,5.230441963642865,nan,052_real_schema_rematched,False
SODA-A/23,SODA-A,23,center_shift,8.0,1449379,24011,0.0032646025038007226,2.2667742584519176e-05,4.054571876534301,1.4516399230065742,5.885778406676874,-0.6086280242844258,-1.1758700871085628,4.054571876534301,nan,052_real_schema_rematched,False
SODA-A/23,SODA-A,23,scale,1.15,1449379,303173,0.582362774744311,0.09073855698562089,5.213996094969379,1.6786971232896768,8.752720245468705,-0.02952985204391545,-0.016445868673485187,5.213996094969379,nan,052_real_schema_rematched,False
DIOR-R/3,DIOR-R,3,score_noise,0.5,60881,32161,0.7622525491672509,0.5391172244168134,4.59306629546127,0.992467442227585,4.558468758238176,-0.03760797233067481,-8.881784197001252e-16,4.59306629546127,nan,052_real_schema_rematched,False
DIOR-R/3,DIOR-R,3,center_shift,8.0,60881,12270,0.580316681478626,0.29901368315497023,7.264752698095208,0.9208668908522147,6.689870229905172,-0.21954384001929972,2.671686402633937,7.264752698095208,nan,052_real_schema_rematched,False
DIOR-R/3,DIOR-R,3,scale,1.15,60881,31703,0.7781095399475,0.14146654960770735,4.575099479541831,1.1272509282952075,5.1572851353564495,-0.021750981550425763,-0.017966815919439938,4.575099479541831,nan,052_real_schema_rematched,False
DIOR-R/61,DIOR-R,61,score_noise,0.5,110036,32696,0.8603282699698431,0.6873976404279803,4.374706519356945,0.9953778064881567,4.3544857792669545,-0.026268481547145672,-8.881784197001252e-16,4.374706519356945,nan,052_real_schema_rematched,False
DIOR-R/61,DIOR-R,61,center_shift,8.0,110036,12850,0.6649325125327188,0.3957818096322501,6.231945161120684,0.9011297767222182,5.6157913515857905,-0.22166423898427,1.8572386417637388,6.231945161120684,nan,052_real_schema_rematched,False
DIOR-R/61,DIOR-R,61,scale,1.15,110036,32147,0.8669834435021814,0.2257168977536356,4.3489251310323604,1.0571433953767497,4.597437479258826,-0.01961330801480743,-0.025781388324585208,4.3489251310323604,nan,052_real_schema_rematched,False
SODA-A/4,SODA-A,4,score_noise,0.5,676208,376756,0.715526657645877,0.31844583002483967,5.148386425941409,1.171025694675599,6.028892790896463,-0.04364153450574071,8.881784197001252e-16,5.148386425941409,nan,052_real_schema_rematched,False
SODA-A/4,SODA-A,4,center_shift,8.0,676208,23233,0.005465694702408084,4.99872419467145e-05,3.817934984325644,0.8820921462024273,3.3677704643851376,-0.7537024974492096,-1.330451441615764,3.817934984325644,nan,052_real_schema_rematched,False
SODA-A/4,SODA-A,4,scale,1.15,676208,366701,0.7263857438636292,0.11630609033690842,5.094107182950863,1.391369614502891,7.087785947378751,-0.032782448287988486,-0.05427924299054521,5.094107182950863,nan,052_real_schema_rematched,False
