score,angle_error,near_square,aspect_ratio,aspect_bin,area,size_bin,match_iou,class_name,image_id,gt_obb,pred_obb,dataset,baseline_id
0.6830439567565918,1.2407384405654893,False,3.9909705957802797,elongated,1772.0000328567112,medium,0.6845,large-vehicle,P0004__1024__0___0,"{""obb_cx"": 554.4989013671875, ""obb_cy"": 903.4762573242188, ""obb_w"": 84.09518432617188, ""obb_h"": 21.071361541748047, ""obb_theta"": -0.04758310317993164}","{""obb_cx"": 555.3029174804688, ""obb_cy"": 903.3341064453125, ""obb_w"": 96.3528060913086, ""obb_h"": 26.869338989257812, ""obb_theta"": -0.0692380741238594}",DOTA-v1.0,20
0.6692240238189697,1.1694419946439059,False,4.47707551179518,elongated,1614.0006114434946,medium,0.7577,large-vehicle,P0004__1024__0___0,"{""obb_cx"": 561.6116943359375, ""obb_cy"": 464.0071716308594, ""obb_w"": 18.98692512512207, ""obb_h"": 85.00589752197266, ""obb_theta"": -1.5590322017669678}","{""obb_cx"": 564.3198852539062, ""obb_cy"": 464.3933410644531, ""obb_w"": 94.9259262084961, ""obb_h"": 22.440977096557617, ""obb_theta"": -0.008646488189697266}",DOTA-v1.0,20
0.6518941521644592,0.5427095425328766,False,4.536232031904473,elongated,2208.000409758679,medium,0.8526,large-vehicle,P0004__1024__0___0,"{""obb_cx"": 223.55908203125, ""obb_cy"": 591.9775390625, ""obb_w"": 100.0799789428711, ""obb_h"": 22.062358856201172, ""obb_theta"": -0.03997868672013283}","{""obb_cx"": 223.35958862304688, ""obb_cy"": 591.789306640625, ""obb_w"": 112.74996948242188, ""obb_h"": 22.90614128112793, ""obb_theta"": -0.04945075511932373}",DOTA-v1.0,20
0.6223787665367126,1.3938503643028421,False,2.4375,moderate,624.0,small,0.7934,small-vehicle,P0004__1024__0___0,"{""obb_cx"": 306.0, ""obb_cy"": 707.5, ""obb_w"": 39.0, ""obb_h"": 16.0, ""obb_theta"": -1.5707963705062866}","{""obb_cx"": 304.6427001953125, ""obb_cy"": 708.9951782226562, ""obb_w"": 36.773685455322266, ""obb_h"": 18.014263153076172, ""obb_theta"": -1.5464690923690796}",DOTA-v1.0,20
0.5958189964294434,0.08534822959948105,False,5.406488714307549,elongated,2619.9993373273755,medium,0.7967,large-vehicle,P0004__1024__0___0,"{""obb_cx"": 216.31503295898438, ""obb_cy"": 817.9948120117188, ""obb_w"": 119.01679229736328, ""obb_h"": 22.013694763183594, ""obb_theta"": -0.016805140301585197}","{""obb_cx"": 222.4043426513672, ""obb_cy"": 816.506591796875, ""obb_w"": 121.45378112792969, ""obb_h"": 20.11201286315918, ""obb_theta"": -0.015315532684326172}",DOTA-v1.0,20
0.5949954986572266,0.20437292034512153,False,1.9384859256868674,moderate,634.0000363931176,small,0.7984,small-vehicle,P0004__1024__0___0,"{""obb_cx"": 795.9722900390625, ""obb_cy"": 92.984130859375, ""obb_w"": 35.057098388671875, ""obb_h"": 18.08478355407715, ""obb_theta"": -1.5137156248092651}","{""obb_cx"": 794.5443725585938, ""obb_cy"": 91.86070251464844, ""obb_w"": 35.13380432128906, ""obb_h"": 16.94080924987793, ""obb_theta"": -1.5172826051712036}",DOTA-v1.0,20
0.5766414403915405,0.8414110038538708,False,2.2062498848111827,moderate,799.999850034772,small,0.7379,small-vehicle,P0004__1024__0___0,"{""obb_cx"": 735.9815673828125, ""obb_cy"": 569.7733154296875, ""obb_w"": 42.011898040771484, ""obb_h"": 19.042221069335938, ""obb_theta"": -1.546991229057312}","{""obb_cx"": 734.5198364257812, ""obb_cy"": 566.7905883789062, ""obb_w"": 40.319026947021484, ""obb_h"": 17.49406623840332, ""obb_theta"": -1.5323058366775513}",DOTA-v1.0,20
0.575856626033783,0.9358222042727898,False,4.530582032742676,elongated,2015.8678501169197,medium,0.8511,large-vehicle,P0004__1024__0___0,"{""obb_cx"": 574.5, ""obb_cy"": 584.4999389648438, ""obb_w"": 21.093761444091797, ""obb_h"": 95.5670166015625, ""obb_theta"": -1.4867839813232422}","{""obb_cx"": 574.0115966796875, ""obb_cy"": 584.5082397460938, ""obb_w"": 108.25213623046875, ""obb_h"": 21.380573272705078, ""obb_theta"": 0.06767916679382324}",DOTA-v1.0,20
0.5745989680290222,0.418492520635864,False,1.7795139590137543,moderate,575.9999772347292,small,0.847,small-vehicle,P0004__1024__0___0,"{""obb_cx"": 789.4912719726562, ""obb_cy"": 230.2809600830078, ""obb_w"": 32.015621185302734, ""obb_h"": 17.9912166595459, ""obb_theta"": -1.5395565032958984}","{""obb_cx"": 788.6900634765625, ""obb_cy"": 230.56622314453125, ""obb_w"": 34.709266662597656, ""obb_h"": 17.084627151489258, ""obb_theta"": -1.5468605756759644}",DOTA-v1.0,20
0.557008683681488,4.914873442530528,False,2.394785969861057,moderate,556.4721985473006,small,0.8532,small-vehicle,P0004__1024__0___0,"{""obb_cx"": 63.5, ""obb_cy"": 958.0, ""obb_w"": 15.243629455566406, ""obb_h"": 36.50522994995117, ""obb_theta"": -0.11379200220108032}","{""obb_cx"": 64.04850769042969, ""obb_cy"": 957.9908447265625, ""obb_w"": 36.03002166748047, ""obb_h"": 17.18363380432129, ""obb_theta"": 1.5427850484848022}",DOTA-v1.0,20
