cell_id,selector,coverage,downstream_risk,abstention_rate,uses_real_matched_predictions,is_proxy,source
DOTA-v1.0/20,score,0.5,0.22704156378600823,0.5,True,False,052_full_real_matched_tables
DOTA-v1.0/20,score,0.7,0.24240850439882697,0.30000000000000004,True,False,052_full_real_matched_tables
DOTA-v1.0/20,score,0.9,0.25638835616438355,0.09999999999999998,True,False,052_full_real_matched_tables
DOTA-v1.0/20,size_linear,0.5,0.2326514403292181,0.5,True,False,052_full_real_matched_tables
DOTA-v1.0/20,size_linear,0.7,0.24297653958944282,0.30000000000000004,True,False,052_full_real_matched_tables
DOTA-v1.0/20,size_linear,0.9,0.25929954337899547,0.09999999999999998,True,False,052_full_real_matched_tables
DOTA-v1.0/20,geometry,0.5,0.2329872427983539,0.5,True,False,052_full_real_matched_tables
DOTA-v1.0/20,geometry,0.7,0.24310997067448678,0.30000000000000004,True,False,052_full_real_matched_tables
DOTA-v1.0/20,geometry,0.9,0.2575534246575343,0.09999999999999998,True,False,052_full_real_matched_tables
DIOR-R/22,score,0.5,0.12391727678869106,0.5,True,False,052_full_real_matched_tables
DIOR-R/22,score,0.7,0.1488459420842065,0.30000000000000004,True,False,052_full_real_matched_tables
DIOR-R/22,score,0.9,0.1762113095017596,0.09999999999999998,True,False,052_full_real_matched_tables
DIOR-R/22,size_linear,0.5,0.1239075281723011,0.5,True,False,052_full_real_matched_tables
DIOR-R/22,size_linear,0.7,0.14845110497237568,0.30000000000000004,True,False,052_full_real_matched_tables
DIOR-R/22,size_linear,0.9,0.17636650861270606,0.09999999999999998,True,False,052_full_real_matched_tables
DIOR-R/22,geometry,0.5,0.12492674534906982,0.5,True,False,052_full_real_matched_tables
DIOR-R/22,geometry,0.7,0.14858913126309772,0.30000000000000004,True,False,052_full_real_matched_tables
DIOR-R/22,geometry,0.9,0.17626894610112984,0.09999999999999998,True,False,052_full_real_matched_tables
FAIR1M-v1.0/24,score,0.5,0.24755970274612912,0.5,True,False,052_full_real_matched_tables
FAIR1M-v1.0/24,score,0.7,0.2600756012311545,0.30000000000000004,True,False,052_full_real_matched_tables
FAIR1M-v1.0/24,score,0.9,0.2698859226649355,0.09999999999999998,True,False,052_full_real_matched_tables
FAIR1M-v1.0/24,size_linear,0.5,0.24354610356412507,0.5,True,False,052_full_real_matched_tables
FAIR1M-v1.0/24,size_linear,0.7,0.25805480984923573,0.30000000000000004,True,False,052_full_real_matched_tables
FAIR1M-v1.0/24,size_linear,0.9,0.26922820335957154,0.09999999999999998,True,False,052_full_real_matched_tables
FAIR1M-v1.0/24,geometry,0.5,0.24774171779141108,0.5,True,False,052_full_real_matched_tables
FAIR1M-v1.0/24,geometry,0.7,0.2599047133392457,0.30000000000000004,True,False,052_full_real_matched_tables
FAIR1M-v1.0/24,geometry,0.9,0.269801107684817,0.09999999999999998,True,False,052_full_real_matched_tables
SODA-A/23,score,0.5,0.24480112994715697,0.5,True,False,052_full_real_matched_tables
SODA-A/23,score,0.7,0.25656704134384833,0.30000000000000004,True,False,052_full_real_matched_tables
SODA-A/23,score,0.9,0.2683731154126706,0.09999999999999998,True,False,052_full_real_matched_tables
SODA-A/23,size_linear,0.5,0.24116006312698487,0.5,True,False,052_full_real_matched_tables
SODA-A/23,size_linear,0.7,0.25397934701759733,0.30000000000000004,True,False,052_full_real_matched_tables
SODA-A/23,size_linear,0.9,0.2676941508532251,0.09999999999999998,True,False,052_full_real_matched_tables
SODA-A/23,geometry,0.5,0.2426613502448111,0.5,True,False,052_full_real_matched_tables
SODA-A/23,geometry,0.7,0.2555157673952313,0.30000000000000004,True,False,052_full_real_matched_tables
SODA-A/23,geometry,0.9,0.26819455976888,0.09999999999999998,True,False,052_full_real_matched_tables
DIOR-R/3,score,0.5,0.10693943784590511,0.5,True,False,052_full_real_matched_tables
DIOR-R/3,score,0.7,0.12470601430284724,0.30000000000000004,True,False,052_full_real_matched_tables
DIOR-R/3,score,0.9,0.14685708067023664,0.09999999999999998,True,False,052_full_real_matched_tables
DIOR-R/3,size_linear,0.5,0.11446451713201915,0.5,True,False,052_full_real_matched_tables
DIOR-R/3,size_linear,0.7,0.12760197219384356,0.30000000000000004,True,False,052_full_real_matched_tables
DIOR-R/3,size_linear,0.9,0.14692510623596475,0.09999999999999998,True,False,052_full_real_matched_tables
DIOR-R/3,geometry,0.5,0.1298989552888502,0.5,True,False,052_full_real_matched_tables
DIOR-R/3,geometry,0.7,0.1339035357349087,0.30000000000000004,True,False,052_full_real_matched_tables
DIOR-R/3,geometry,0.9,0.14715114873035065,0.09999999999999998,True,False,052_full_real_matched_tables
DIOR-R/61,score,0.5,0.08678785784193785,0.5,True,False,052_full_real_matched_tables
DIOR-R/61,score,0.7,0.10565687696609576,0.30000000000000004,True,False,052_full_real_matched_tables
