path,bytes,sha256,can_recompute
top_journal_v3/codex_and_supervisor.md,790,c57b64fa2d394ebe8c8941f34c0950b298ab749364a53ae15698b4ed437334db,True
top_journal_v3/docs/codex_latest_report.md,1930,b0734d8f9ef79a6261c7cc300498b20468bf6f230698869037dcd6e09f5e0c05,True
top_journal_v3/docs/p1_constructive_decoupling_experiment.md,3099,ed03e29ec9a69342c09aa9e7c1a2b1db21629eaaea3215bd17996a2871fcdd8b,True
top_journal_v3/docs/p2_conformal_orientation_risk_control.md,689,3215fd3aeec212c7e08779f60d198cba1177668122cc5b48e328c8b9878b2f0a,True
top_journal_v3/docs/p3_psc_free_mechanism_tests.md,779,bb6ad77ef0f5f403018eaf5fcf140c2a99a5331094d33e8756f43d61039995b7,True
top_journal_v3/docs/p4_uncertainty_baselines_circular_stats.md,649,46d9e5fa506c0aae01f0f8fdf71dbc6341811c82b01da06742199ba6e0dbe27b,True
top_journal_v3/docs/p5_downstream_selective_orientation_task.md,590,94bd5925c53dcd043e749ff0f35cfaacc77838ae50926005c7b7751f3a6ff085,True
top_journal_v3/docs/related_work_references_patch.md,2786,5dbe64d4e82bd78678048e725634b12f09831e22a266c8a96de6a35556c936a7,True
top_journal_v3/docs/top_journal_evidence_decision_049.md,1128,e334622c5a10c0f6a44c5f1e89be985ed85c2dc4cae0181a2cd471e679a38170,True
top_journal_v3/figures/iou_delta_theta_aspect_ratio_curve.csv,2215,d4df516b3a8309135ec0ada64ec9a160c5b6d801099b98db8c2dab77ebd321b9,True
top_journal_v3/figures/iou_delta_theta_aspect_ratio_curve.md,545,d5e33d2b67937af900ee1089cf96fdf4581f0fa06f9ed02e0cf75691fe3e5158,True
top_journal_v3/figures/nrc_interpretation_schematic.csv,173,ce12842a75111dd49b824297674e2e3a8017c0bc10f82ee80436d743273b1c02,True
top_journal_v3/figures/nrc_interpretation_schematic.md,286,7cb52ecc84beaa59d0a69818dc1852da0433bc3872da3e42c47fe29218617c72,True
top_journal_v3/reports/artifact_manifest_049.csv,4156,e7af8ab0771a414fcb53541543b7073d0719c98108426084d7eb82e3ae544203,True
top_journal_v3/reports/conformal_shift_violation_audit.csv,24671,a9d71b51c27c63c63eec4129200bb01f445cee1bbe51f69d33ec7cfe36e62b84,True
top_journal_v3/reports/conformal_within_cell_risk_control.csv,4150,bf0e88dfe530adbe3ff7509e12c6ff9861ca6902a90b7fd9a3e3beb1a7827fe3,True
top_journal_v3/reports/downstream_selective_orientation.csv,7951,769d69d66586f9bb2866fdc7f94b5290788e973787d4e61606373cc29552edc0,True
top_journal_v3/reports/heartbeat_049.json,136,f5a81cc6bfdd652fff4e6a740254d4a2130b08701d39ce36f2b4f6abb04f082d,True
top_journal_v3/reports/p1_angle_perturb_dose_response.csv,33893,0309242d5f5345e1f610b6c29066f7c3b5c9881ec1c92c4b6bc241f2305b8a18,True
top_journal_v3/reports/p1_reverse_perturb_decoupling.csv,8558,e834d4cf1f0c368a951b6b73f162b661980c4160841c6059f173d479d5861c25,True
top_journal_v3/reports/p1_within_dataset_pair_mining.csv,707,e303150acb93c44ce83b857e69013a2d9d10484f40e5e54f9fc2e6f931112120,True
top_journal_v3/reports/psc_dota20_phase_mod.csv,82,055b942cfb82401dcc9ed89784b865256061796e9f660bf2ec4654b084639ff8,True
top_journal_v3/reports/psc_phase_mod_aliasing_hist.csv,7065,3149246e6c66c7346ed98a6a80bd7b04202024387fb81aaf1c7704d9561d2dab,True
top_journal_v3/reports/psc_phase_mod_confounding_check.csv,519,f3949cb8ad39f291855b84692a02b2af6b475e707f361c57f1de96bdfa1e3cf1,True
top_journal_v3/reports/uncertainty_baselines_nrc.csv,975,55657a10b5f9a9d2798238f5bd40e13633e61c14cb23a3d7921045f6fd0720e4,True
top_journal_v3/reports/verification_top_journal_evidence_v2_049.json,3874,328048ef5d3208edfb6f6df7ee9bc35d2bcd44ec2d51dff879b261a329415437,True
top_journal_v3/reports/verification_top_journal_evidence_v2_049.md,2202,a6618c85d368a1b1f98f7981e4a7ebfb6a12898d5e2f437ac6233ecb23406ffe,True
top_journal_v3/scripts/__pycache__/run_049_evidence.cpython-38.pyc,33988,07b3a54183b06753ad2c1fd8822226a7e3ddf2a06a8dc11eb8fdf3b665591d90,True
top_journal_v3/scripts/run_049_evidence.py,40391,6fa6bd29a2aed5c8401e6a84c8671f178a55ab6fce0c4774d1f6f5d064f3b20e,True
top_journal_v3/scripts/verify_top_journal_evidence_v2_049.py,5162,e4969affe9de778d3785766054ec5c4643ce398d4e01daab6356060737a2be39,True
