kind,path,bytes,sha256
tracked_output,dis/server_reports/orientbench-c-r019-20260809.md,5719,71faa6886754ea326d4243de0b3303c944bdf9880e08b756cf70eb7fd04e6d5c
tracked_output,p3_selector/deployable_proxy_r019/docs/protocol_closure_r019.md,975,00813f1060e066fafcee0e3b700fdc23c5faf1b79d7db27b839ff4b5e63638d5
tracked_output,p3_selector/deployable_proxy_r019/prelabel/blind_power_mde_r019.json,308,d713b14d7b58a6e68288f3467dee8bda7bb83291c918058d70615d0fae7bb017
tracked_output,p3_selector/deployable_proxy_r019/prelabel/bootstrap_draw_inventory_r019.json,512,03bc1e43fb2d3fe1c5a1361f1edf3e73d1fbecbd5a63fed6b04ef7c71915e122
tracked_output,p3_selector/deployable_proxy_r019/prelabel/dota_prediction_feature_score_inventory_r019.json,4664,739cfb440c20eacf385a95ffc2aa8cce6aac974c7c7ebd1c5377509c127dafbc
tracked_output,p3_selector/deployable_proxy_r019/prelabel/implementation_changelog_r019.json,437,a58f76414a26dbb627a4950c1ca4fa25f4291324542377038026cf5381e5c723
tracked_output,p3_selector/deployable_proxy_r019/prelabel/preflight_r019.json,14320,be819944246ca8eaf15f2eb84cb3189bbdaaabb3b8a5db8a90e7639e8d7e7abb
tracked_output,p3_selector/deployable_proxy_r019/prelabel/prelabel_command_ledger_r019.csv,768,784deaa9c659ef539f7aa1ee29446627438f9cf414f241fb1cb500972d250d2a
tracked_output,p3_selector/deployable_proxy_r019/prelabel/prelabel_seal_manifest_r019.json,29081,cf73ca390e109a20e9e4055b7951d7733f50d4e13f80f9f82ccc558d44c617f7
tracked_output,p3_selector/deployable_proxy_r019/prelabel/production_gpu_smoke_r019.csv,308,13d4aa8e3bab5027c78cd4309c2cba1b5aaa38a3d1c17157020e81fb93b453c5
tracked_output,p3_selector/deployable_proxy_r019/prelabel/production_microtests_r019.json,4258,dd30dba5f9e019c586461234ebcc396c7f75990868a5e5704e89f9f6f3a031ec
tracked_output,p3_selector/deployable_proxy_r019/prelabel/source_lodo_r019.csv,736,dbf496a4b6f0b2a73cc5afb4748e22ae1224aecde34ba609cfd26adeb8a45d46
tracked_output,p3_selector/deployable_proxy_r019/prelabel/source_lodo_replicates_r019.csv,995999,db270023ed307084823cbfa6335d204c1b53c50a1662975f62541db1e2adf500
tracked_output,p3_selector/deployable_proxy_r019/prelabel/source_model_inventory_r019.json,4476,fad2296cb5bdfb3e4db9c46c951671b003eb5a9c4208f9877b79509db666d151
tracked_output,p3_selector/deployable_proxy_r019/prelabel/source_taint_audit_r019.json,869,14e455be2b34a985e6fc26b8556504022921251995ab49e3334212aa2bf0978f
tracked_output,p3_selector/deployable_proxy_r019/results/dota_endpoint_results_r019.json,1376,ed35654b3234ae85a9b34450a1d2307c96406189dde688e00c7b8cf74bc3c740
tracked_output,p3_selector/deployable_proxy_r019/results/execution_ledger_r019.csv,1983,6048402537de48e4bd2237c83cf027a68f247ae0fc6d2cb62a451c330c679519
tracked_output,p3_selector/deployable_proxy_r019/results/label_attach_inventory_r019.json,1350,b57e9d946ec17528ce00d04aa5b744c76e8200623bb1f943843efc18d436e611
tracked_output,p3_selector/deployable_proxy_r019/results/official_detection_parity_r019.csv,347,54a6b8d2e284e734354ba8721b3d1f1434dea258863f106667e1067d161d8260
tracked_output,p3_selector/deployable_proxy_r019/results/resource_summary_r019.json,885,9262c7d48819b1ed56fd2cb5e7bb3cc3e3337092e8126e3c61e62e7fcc4afab9
tracked_output,p3_selector/deployable_proxy_r019/results/unit_point_metrics_r019.csv,306,ad4c5a7c7c71219d54a78c59007a85328d8448606e0052b956c401de1e7df6b2
tracked_output,p3_selector/deployable_proxy_r019/results/validator_r019.json,9169,998e4534a74b43e22bc7aeb176abf020b94a150cd3a43683655ef9a0f2b5e2c3
executed_code,p3_selector/deployable_proxy_r019/scripts/__pycache__/assemble_r019.cpython-310.pyc,12031,f7b8c755f6f5b0d67eb8684cfcbd4594e1a379da2f43b9c2105eac24d35d4ca4
executed_code,p3_selector/deployable_proxy_r019/scripts/__pycache__/eqs_rc_r019.cpython-310.pyc,9061,8f31ddc6392f321de88e8ad0bef606340a7e41762dd8dbc5492112b793cbbc55
executed_code,p3_selector/deployable_proxy_r019/scripts/__pycache__/forward_image_only_r019.cpython-310.pyc,3955,0dd91da65ee1adae07dcc56a9e660be15fd48dfda669ec3454fe2e1a00d06975
executed_code,p3_selector/deployable_proxy_r019/scripts/__pycache__/label_attach_results_r019.cpython-310.pyc,16289,a36d115c1ef43eb91d752db19b0fa72df73a4620dfe03f0e84908539def5e3f2
executed_code,p3_selector/deployable_proxy_r019/scripts/__pycache__/run_forward_orchestrator_r019.cpython-310.pyc,5694,ec0d56784690cd6bfcd60d0aa657c88d1a37a30dbc6e93fe4c37113e091bf782
executed_code,p3_selector/deployable_proxy_r019/scripts/__pycache__/run_prelabel_r019.cpython-310.pyc,24398,3e28a5e83a3c83fc1aab707f014f066cb59925c91b1ab108f1816b9a5c2aad40
executed_code,p3_selector/deployable_proxy_r019/scripts/__pycache__/validate_r019.cpython-310.pyc,11063,18d8fd2209ccdbfcd24ad8c1422ccaf5ff55ec2d197e86953411575869f383ae
executed_code,p3_selector/deployable_proxy_r019/scripts/assemble_r019.py,10489,0629e5d1af2ed111ce7bd767bcd2d0c258f95ad438a27b620e07ef7b4d427cda
executed_code,p3_selector/deployable_proxy_r019/scripts/eqs_rc_r019.py,9925,e0eb73e3100206795fbc4e48274aa2f5dbc0f96fb732ab7b737483b05917ba56
executed_code,p3_selector/deployable_proxy_r019/scripts/forward_image_only_r019.py,3976,00778114ad8c6e4b702dff55b6313f514225acaa20f2f88a59085ab40cc64d16
executed_code,p3_selector/deployable_proxy_r019/scripts/label_attach_results_r019.py,15685,d75d39d94d8b806f41f0005e179ee174bd4c8ba2659966765ae3aa5cd166c28e
executed_code,p3_selector/deployable_proxy_r019/scripts/reproduce_r019.sh,569,41784d9086ab3929b41e8e638530fb770986cb4dcfd0346840bda0f17315f470
executed_code,p3_selector/deployable_proxy_r019/scripts/run_forward_orchestrator_r019.py,5854,66deae9a621dabac780b64232a32bed26de49bb857e5434d292d155cfeb9ef4f
executed_code,p3_selector/deployable_proxy_r019/scripts/run_prelabel_r019.py,23773,435baf72388b6ac47393cfa92aa41b59ec8c8fe2a2c370845125520ab62c62b4
executed_code,p3_selector/deployable_proxy_r019/scripts/validate_r019.py,10217,68bcf6e07af7221c3622ad2ab16b8a37fc35c6e14f8af7b474ad0eb6711941fd
actual_read_only_input,outputs/persistent_artifacts/orientbench_r019/prelabel/image_only_registry.json,1001320,a354781dc4c8fd28160483aae11f4d281d885e2f2c40608791e9551f273c72fa
actual_read_only_input,outputs/persistent_artifacts/orientbench_r019/prelabel/models/eqs_rc_and_linear.joblib,395465,fb0030e39f05d3376826acee883d3b60a9b44c82b5dae7b6f0646f553621383e
actual_read_only_input,outputs/persistent_artifacts/orientbench_r019/prelabel/draws/mother_draws.npy,18320128,1ca77a5f9b0539d802137b4850a9f11d84e77f93d3b1203bc5cbfd89d86f05d6
runtime_output,outputs/persistent_artifacts/orientbench_r019/postlabel/dota_gt_fresh.pkl,2680160,3baa2ca8d2d80c7994db371ff8828a77e90c53521e4c2c187e6f61ee46e0beff
runtime_output,outputs/persistent_artifacts/orientbench_r019/postlabel/bootstrap/replicates.parquet,577096,94a5bdc9dbf1c1061d67073b01b5f2e958a6aba05186e75867cd4775408ac5cf
manifest_self,p3_selector/deployable_proxy_r019/results/evidence_manifest_r019.csv,N/A_SELF_REFERENCE,N/A_SELF_REFERENCE
