unit,class_id,cohort,rows,tta_localization_corrected_AUGRC,low_reliability,status
orcnn,0,MAIN_AR_GE_2.1,4,0.010712167308730584,True,DESCRIPTIVE_R028_CORRECTED
orcnn,2,MAIN_AR_GE_2.1,295,0.02829409273845844,True,DESCRIPTIVE_R028_CORRECTED
orcnn,3,MAIN_AR_GE_2.1,53,0.02066424593423349,True,DESCRIPTIVE_R028_CORRECTED
orcnn,4,MAIN_AR_GE_2.1,4740,0.023335604542470256,False,DESCRIPTIVE_R028_CORRECTED
orcnn,5,MAIN_AR_GE_2.1,7911,0.020929574316278433,False,DESCRIPTIVE_R028_CORRECTED
orcnn,6,MAIN_AR_GE_2.1,16995,0.028869597109656864,False,DESCRIPTIVE_R028_CORRECTED
orcnn,7,MAIN_AR_GE_2.1,755,0.006564333775926378,False,DESCRIPTIVE_R028_CORRECTED
orcnn,10,MAIN_AR_GE_2.1,17,0.016432786653479817,True,DESCRIPTIVE_R028_CORRECTED
orcnn,12,MAIN_AR_GE_2.1,2140,0.030998708061159532,False,DESCRIPTIVE_R028_CORRECTED
orcnn,13,MAIN_AR_GE_2.1,92,0.03835196916897744,True,DESCRIPTIVE_R028_CORRECTED
orcnn,14,MAIN_AR_GE_2.1,28,0.03344639812023041,True,DESCRIPTIVE_R028_CORRECTED
orcnn,0,ALL_AR,4125,0.05443365810799146,False,DESCRIPTIVE_R028_CORRECTED
orcnn,1,ALL_AR,310,0.22848409587221857,True,DESCRIPTIVE_R028_CORRECTED
orcnn,2,ALL_AR,545,0.046907977672570475,False,DESCRIPTIVE_R028_CORRECTED
orcnn,3,ALL_AR,192,0.018272363848218492,True,DESCRIPTIVE_R028_CORRECTED
orcnn,4,ALL_AR,8705,0.02338845454870685,False,DESCRIPTIVE_R028_CORRECTED
orcnn,5,ALL_AR,8084,0.0210432829615579,False,DESCRIPTIVE_R028_CORRECTED
orcnn,6,ALL_AR,17442,0.028848057209381224,False,DESCRIPTIVE_R028_CORRECTED
orcnn,7,ALL_AR,1423,0.006856994894379554,False,DESCRIPTIVE_R028_CORRECTED
orcnn,8,ALL_AR,229,0.01568572885188353,True,DESCRIPTIVE_R028_CORRECTED
orcnn,9,ALL_AR,3349,0.22390406931678072,False,DESCRIPTIVE_R028_CORRECTED
orcnn,10,ALL_AR,200,0.015395739253065775,True,DESCRIPTIVE_R028_CORRECTED
orcnn,11,ALL_AR,210,0.22207582904498818,True,DESCRIPTIVE_R028_CORRECTED
orcnn,12,ALL_AR,3446,0.039210433999692304,False,DESCRIPTIVE_R028_CORRECTED
orcnn,13,ALL_AR,540,0.05760993115792579,False,DESCRIPTIVE_R028_CORRECTED
orcnn,14,ALL_AR,89,0.12031403549803832,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,0,MAIN_AR_GE_2.1,2,0.10794833233292225,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,2,MAIN_AR_GE_2.1,326,0.03365133613121151,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,3,MAIN_AR_GE_2.1,50,0.015690318699066244,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,4,MAIN_AR_GE_2.1,5289,0.02333902476195581,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,5,MAIN_AR_GE_2.1,8123,0.022021440899198823,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,6,MAIN_AR_GE_2.1,17465,0.026676503146124946,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,7,MAIN_AR_GE_2.1,767,0.006108661059394869,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,8,MAIN_AR_GE_2.1,1,0.02553998148838907,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,10,MAIN_AR_GE_2.1,10,0.01916361882472723,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,12,MAIN_AR_GE_2.1,2231,0.03654753750738976,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,13,MAIN_AR_GE_2.1,93,0.03662339486390392,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,14,MAIN_AR_GE_2.1,28,0.026598612962877577,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,0,ALL_AR,4180,0.04895127069584973,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,1,ALL_AR,316,0.21524510055421422,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,2,ALL_AR,574,0.05055017383655157,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,3,ALL_AR,188,0.01753461158282549,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,4,ALL_AR,9897,0.023417993013494814,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,5,ALL_AR,8353,0.02213595503949842,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,6,ALL_AR,17970,0.026688792262064567,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,7,ALL_AR,1422,0.0064950615805014714,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,8,ALL_AR,218,0.013268356700668508,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,9,ALL_AR,3974,0.2336522744272891,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,10,ALL_AR,184,0.019232886436981705,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,11,ALL_AR,204,0.1703719545060679,True,DESCRIPTIVE_R028_CORRECTED
rtmdet,12,ALL_AR,3600,0.04389935713081766,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,13,ALL_AR,546,0.053708252863299985,False,DESCRIPTIVE_R028_CORRECTED
rtmdet,14,ALL_AR,110,0.10454254551037634,True,DESCRIPTIVE_R028_CORRECTED
