relative_path,bytes,sha256,self_reference
code/build_bundle.py,3263,27c85639debc19d2b1ee0547a42bf240481678531545a7b6d548ba7c8b104611,False
code/compare_ab.py,2648,6eaf030029e954d1f439d36e6667345f1d2760df8fb6792478f0626375ac3728,False
code/finalize_r037.py,5492,27b0c001ef693458b60c622a6c742e4baac8b7c3957729692c42af3904a6f520,False
code/implementation_a.py,24313,db2b425258f50d33e50560437992355e573c0d90ed4caeab908e247832f33f95,False
code/implementation_b.py,24314,6720adf194977c312a2fe13767d135a3049e4ef684f472ba8adbb3416d8d4a5c,False
code/monitor_command.py,2344,c751427035a1699cc5663b1a3b73d47ca11fed3f4f70110dec3bd4db9ef676c8,False
code/prepare_views_r037.py,2892,7b59205cbbf34bb0cf10fd72b1a17ccd3201cf5c0edc19a046e4a7c19424715d,False
code/run_mutations.py,3334,d1b2d05467816814822c389b72153365507ac395d72d7499a3bf1b5d81f084c9,False
code/validate_r037.py,28409,e8e715c39dcc71536e6adfb4bd93e59276c4751f1e40b04742b3c33895d17975,False
code/verify_bundle_manifest.py,1482,d0c986eb937d0654ea684dbc11600dd7eb6f79470e2e8af871cc83e91b308b39,False
comparator/comparator.json,2398,07e984273e576b3cffd21a55d3aaffe69d51ee99cf67364d6b25cbcb9cb94a72,False
endpoint_inventory/endpoint_consumption_audit.csv,2124,2b1941300e9e69db130937a84f1c68fa33a74e0f6669cbc2fc36ac5463e78d86,False
execution/execution_summary.json,891,a93251561e3238e6a48ebb12db2ecf3683c58043f6a1a6f8804ed08c142ea392,False
execution/multimodality_status.json,324,313302d7485b8306a6ec516a848a6cb40e09d06e8e6fda1d0f2537f59c00471e,False
execution/resource_usage.json,2379,2bee53629636cfbc8a79bd3782aa31cfb2e1e31e7d7ba658a9377c7983d61e28,False
implementation_a/bootstrap_replicates.parquet,4636303,a1b5ec27be1694792d082608a8c30b94565e938f1b422aaed7a7f21d5da09147,False
implementation_a/common_support.jsonl,162246,495ca992d277d1aa3a82f7d00b59f5a1857d65c72795b7b01b6f6f12d503c99e,False
implementation_a/fit_ledger.jsonl,36518,f106fd5b5115c724e11388b83db59ad2a62223b6742b721297abaeceaa25528f,False
implementation_a/interval_predictions.parquet,13559508,adcdbf5fc8c19049a9efa3e9fb2b399e3c6d4c19ddaebe9b974e58e2d04ac8ee,False
implementation_a/judgment_final.json,306,f00b605b4129feeb789c4fc031c6c398e190a95b3aaa13fb53b276f7a4833333,False
implementation_a/judgment_t2.json,361,be46445d062cb31a4b19efdd00b13f4a9711cb399b368f258eebb5960b4dff29,False
implementation_a/multiplicities/HOdata_ABC_to_D.npz,4378628,cd6e36a3364f5aa476f8f7206024990265dd1b74fdeb7ab48aea34d308f40e3d,False
implementation_a/multiplicities/HOdata_ABC_to_E.npz,2764941,f2ea70e90cbe523667a07c75e71499c22ba0640520e42cae46d750816604d1a9,False
implementation_a/multiplicities/HOdata_ABC_to_F.npz,2747129,a233c52bbf306232f54f871b37dd96402b1b2db9c0987c257e4234e93c9b096c,False
implementation_a/multiplicities/HOdata_ABC_to_G.npz,2122169,5f5c48c1715119fbf925b22228740e9e3f8267db3d002b3460cd9a8e34db3bfe,False
implementation_a/multiplicities/HOdata_ABC_to_H.npz,2134882,ab60e7688ddc89e73e00c30e4040dbf75127385c22f033f59b7216c739c4394d,False
implementation_a/multiplicities/HOdet_A_to_B.npz,32397220,ace640eb979256fe0b83ef96fac90fe017a2b05b4016af99aa7f3c5ec365c016,False
implementation_a/multiplicities/HOdet_A_to_C.npz,32814263,391b43a7707df382f8d53c24852f6a21299ae8f96bcc8cb4a16e952b28087aa5,False
implementation_a/multiplicities/HOdet_BC_to_A.npz,31932031,637b7ee3bfdaf0c60cfd67d66079028e97ca14a7f9f97677e7e1ebf2842ccec6,False
implementation_a/prediction_seal.json,474,8ba8b9de52d0207c96f0abf2fa9a8dbaba77f8c5afeae7de237cedf9fdc4666a,False
implementation_a/source_oof_predictions.parquet,17344547,b1612744ff750d452d8fbc30d3d136eb7abf331e34cb841473f1a63ff4dd5736,False
implementation_a/t2_evidence_increment.csv,4550,852f1f6e08680d86507ac31d25dd8b09d4de0c192b53049ac6e4aec8d50e39d3,False
implementation_a/t3_interval_validity.csv,3953,860ca4af5d8e97203d6c12a345d9d70d31835a71125efa5c39074f4594fde636,False
implementation_a/t3_set_gain.csv,1285,bbeab850253b4620aed4f5e09bcd417f557955c981c39c09726e981ccadd1907,False
implementation_a/target_predictions_common_support.parquet,19102044,46569921e3e429b666a78dc9ae1138d03d7e82bc449d5e0f08dac3bf3d0e095e,False
implementation_b/bootstrap_replicates.parquet,4636303,a1b5ec27be1694792d082608a8c30b94565e938f1b422aaed7a7f21d5da09147,False
implementation_b/common_support.jsonl,162246,495ca992d277d1aa3a82f7d00b59f5a1857d65c72795b7b01b6f6f12d503c99e,False
implementation_b/fit_ledger.jsonl,36513,c12d0051dc5dfaf23447fe16047d28892016f09a41d18fae2be15d76aa16733f,False
implementation_b/interval_predictions.parquet,13559508,adcdbf5fc8c19049a9efa3e9fb2b399e3c6d4c19ddaebe9b974e58e2d04ac8ee,False
implementation_b/judgment_final.json,306,ef183e27b90e9045f3b7ca9b4d758cd7fecc0bd333cdaafbd785af4fed38a0c1,False
implementation_b/judgment_t2.json,361,85570819d8f3d71ffa1909a8030559cf929e6338ffefcc34363609abd96b6d71,False
implementation_b/multiplicities/HOdata_ABC_to_D.npz,4378628,cd6e36a3364f5aa476f8f7206024990265dd1b74fdeb7ab48aea34d308f40e3d,False
implementation_b/multiplicities/HOdata_ABC_to_E.npz,2764941,f2ea70e90cbe523667a07c75e71499c22ba0640520e42cae46d750816604d1a9,False
implementation_b/multiplicities/HOdata_ABC_to_F.npz,2747129,a233c52bbf306232f54f871b37dd96402b1b2db9c0987c257e4234e93c9b096c,False
implementation_b/multiplicities/HOdata_ABC_to_G.npz,2122169,5f5c48c1715119fbf925b22228740e9e3f8267db3d002b3460cd9a8e34db3bfe,False
implementation_b/multiplicities/HOdata_ABC_to_H.npz,2134882,ab60e7688ddc89e73e00c30e4040dbf75127385c22f033f59b7216c739c4394d,False
implementation_b/multiplicities/HOdet_A_to_B.npz,32397220,ace640eb979256fe0b83ef96fac90fe017a2b05b4016af99aa7f3c5ec365c016,False
implementation_b/multiplicities/HOdet_A_to_C.npz,32814263,391b43a7707df382f8d53c24852f6a21299ae8f96bcc8cb4a16e952b28087aa5,False
implementation_b/multiplicities/HOdet_BC_to_A.npz,31932031,637b7ee3bfdaf0c60cfd67d66079028e97ca14a7f9f97677e7e1ebf2842ccec6,False
implementation_b/prediction_seal.json,474,3452d52da295c7d855e975ec78ae6405fa58c6b8d4c179e3f86f56b5d4d02024,False
implementation_b/source_oof_predictions.parquet,17344547,b1612744ff750d452d8fbc30d3d136eb7abf331e34cb841473f1a63ff4dd5736,False
implementation_b/t2_evidence_increment.csv,4550,852f1f6e08680d86507ac31d25dd8b09d4de0c192b53049ac6e4aec8d50e39d3,False
implementation_b/t3_interval_validity.csv,3953,860ca4af5d8e97203d6c12a345d9d70d31835a71125efa5c39074f4594fde636,False
implementation_b/t3_set_gain.csv,1285,bbeab850253b4620aed4f5e09bcd417f557955c981c39c09726e981ccadd1907,False
implementation_b/target_predictions_common_support.parquet,19102044,46569921e3e429b666a78dc9ae1138d03d7e82bc449d5e0f08dac3bf3d0e095e,False
input_identity.json,580,fa1096cf0918432d8264c140220f6141b4bbde2974878292781524bcfacc4e5b,False
mutations/mutation_results.json,14845,c09ee312f965dd215f601bcfdcd99d0d844bbb0d93a7902911825d2b2bddfab1,False
protocol/sug.md,18049,65e67bee39ecceda6b8e5a66a73a330a9a9078b5bd94db13946fd70bde8786e1,False
resource_logs/validator_strict_evaluate.json,804098,06ecd2e5ceb5a9160c16137e1e95e1a6c7f1f32c64246aae1fcf519739605780,False
