check,status,sha256,notes
reports/a4_dose_response_knee.csv,PASS,79824c447907a230fcb961bbb7632c09163e5fd6f95401223a9c589427aceef2,nonempty
reports/a4_empirical_tolerance_distribution.csv,PASS,7f0f4e3a997b399a3f2679bd797cabdfa72b3ee2e15ce908e8d02bf0670735e3,nonempty
figures/a4_empirical_ideal_tolerance.png,PASS,10d3d28cf50a730dfa58c8575ca823d3bfd33a4e3b75a59d209cacebd99fad8c,nonempty
figures/a4_empirical_ideal_tolerance.pdf,PASS,4bdc11a54b65ba61be81257bef7279598b911859d727ea4ca71a484c07bafc38,nonempty
reports/a5_annotator_gt_metrics.csv,PASS,1e36533dd555fbda4f9a4bf7018e637be311700c0df383157ec92a731aede69f,nonempty
reports/a5_third_annotator_sampling_manifest.csv,PASS,45b10a817d4efb538f9135dde2108c1eecd570fcb0aa8bbb966ab38603ad47f0,nonempty
reports/a5_consensus_metrics.csv,PASS,9e6015ea4465f215dff398b73517a57ca01bcf46f4199cc23730bf5e7390be84,nonempty
reports/a6_confirmatory_provenance_audit.csv,PASS,ebbd963699ece9111c794c877d1c407fdf9c7bdba521edc110814225840aff64,nonempty
reports/a6_confirmatory_metrics.csv,PASS,f9d21219ad15b05664d44b3964438d6521e670b99c60a29c55850a256ed8eea1,nonempty
reports/a6_confirmatory_risk_frontier.csv,PASS,4f0e05c7704c5217e1653df64deb8cd2ac47b7d5f6b5188f3137980e647cf3b1,nonempty
reports/a4_a6_final_decision.csv,PASS,38f012401439ad02c2a83142ec992e7ec0fe39c2bc3b05f22aa7930bafd200fa,nonempty
reports/a_ab_boundary_cleanup_for_next_rewrite.csv,PASS,f534b3aa2fc000f3a6498113c9ced25ff0cab7213a72c79f3f19522c51b24030,nonempty
reports/toolbox_test_status.json,PASS,bb976a9d0972bad9542271ad86e8fe8a5c64453ec88afb13c869541f91372014,nonempty
third_formal_results,PASS,,absent as required; HUMAN_ANNOTATOR_3_BLOCKED
