check,status,sha256,notes
reports/a1_guaranteed_frontier_all_alpha.csv,PASS,bf50c7f5f0ecee0a4a56da8b993c7012ffd8e6666bc5d846e5c1775d729f9519,nonempty and hash recorded
reports/a1_trivial_infeasible_summary.csv,PASS,b7241ffb72a4e742c1de9d07b2219ce7db6efd9b4aaa431c29be8e14b2823a78,nonempty and hash recorded
reports/a2_eligible_scene_universe.csv,PASS,ad6e678ca7a9b6cf0dd6dd2d699e1ac12d84cced0e3551194dced4f5e619df45,nonempty and hash recorded
reports/a2_tile_to_mother_scene_mapping.csv,PASS,b9bc2ab607bd66de8df06e1a4fbe4f97e76be1b0f9d288c7c3c2bbfa25050d75,nonempty and hash recorded
reports/a2_instance_tile_scene_comparison.csv,PASS,411e505ea00df4f2cb8c8f09a4052043694ec5ec8139311d3e04544ccd60cd2f,nonempty and hash recorded
reports/a2_scene_level_ltt_frontier.csv,PASS,82c3286eac25df4551b63545a8470811cc2583381fb86b0da0c1012856eda425,nonempty and hash recorded
reports/a2_scene_event_frontier.csv,PASS,794714f1fd389492b48fbaaf8aefe84ccb9870ee7307cb576d50b1ce18cb876c,nonempty and hash recorded
reports/a3_score_menu_certified_coverage.csv,PASS,82c3286eac25df4551b63545a8470811cc2583381fb86b0da0c1012856eda425,nonempty and hash recorded
reports/a3_score_menu_summary.csv,PASS,d9c7a2a0d8058888bc2e2202e28c9e800df9a009949f48213a863ca3d862d75e,nonempty and hash recorded
reports/a1_a3_final_decision.csv,PASS,9195ab09194948df263614b765b9de8b4238158c264ebab2f9efaafba3c35afb,nonempty and hash recorded
protocol_frozen,PASS,aa0c563e72026831c49763e89bed4dfa9eb305983f70a3d544aadca010cd74f3,a1_a3_protocol_075_v1
post_threshold_empty_scene,PASS,,abstained; excluded from conditional risk and retained in nonempty-rate denominator
target_gt_scope,PASS,,"target-GT nonlinear geometry is diagnostic upper bound, not deployable"
