cell,track,dose_deg,status,AP50,AP75,fp50,angle_error_mean,n_pred,n_gt,evaluator
DIOR-R/22,S,0,COMPUTED_GPU,0.5367777305863244,0.35031696427094106,149785,8.94688043383171,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,S,2,COMPUTED_GPU,0.537508477940417,0.34803725491054677,149828,9.499117854893461,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,S,5,COMPUTED_GPU,0.5350318653898569,0.3373401447682362,150125,10.95286983286891,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,S,10,COMPUTED_GPU,0.5222237846396598,0.2946092637028589,151219,13.747583927977407,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,S,15,COMPUTED_GPU,0.5042682891712633,0.22805380011454066,153578,16.560127029330495,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,S,20,COMPUTED_GPU,0.48254384677829565,0.21709280166490819,157721,19.22321009038285,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,S,25,COMPUTED_GPU,0.451030378376988,0.21705494109201778,166689,21.35700665630123,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/22,S,30,COMPUTED_GPU,0.41645447315330386,0.21705486789393502,180638,22.127240382847702,556660,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,S,0,COMPUTED_GPU,0.644789487096785,0.4275168647455021,38208,8.66524432212967,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,S,2,COMPUTED_GPU,0.6431264329217332,0.42393632798521097,38265,9.142409541648345,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,S,5,COMPUTED_GPU,0.6361903516265767,0.40640858773278066,38575,10.590370561160293,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,S,10,COMPUTED_GPU,0.6060530778351187,0.34105633455985795,39986,13.411945351964881,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,S,15,COMPUTED_GPU,0.5684335880826445,0.2665770105031682,42620,16.252425245629805,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,S,20,COMPUTED_GPU,0.5397449093217266,0.2528874746130638,46687,18.940032565806135,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,S,25,COMPUTED_GPU,0.4994544363570206,0.2528721762011172,55195,21.141314553121074,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/3,S,30,COMPUTED_GPU,0.4545451803636785,0.25286953809682344,69977,22.017768602043787,177967,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/61,S,0,COMPUTED_GPU,0.6462051923401342,0.45151851121447273,110494,9.08716179574796,358782,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/61,S,2,COMPUTED_GPU,0.6449516343932958,0.4471189533392106,110557,9.51270583883878,358782,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/61,S,5,COMPUTED_GPU,0.6372125532387378,0.4220076615141387,110855,10.89715998090654,358782,124445,GPU_RBboxOverlaps2D_K1
DIOR-R/61,S,10,COMPUTED_GPU,0.6103780886519333,0.3590951016823982,112188,13.634571234767154,358782,124445,GPU_RBboxOverlaps2D_K1
