cell,replicate,T_P,T_D,T_plus,T_minus,T_S
DIOR-R_22,0,0.08683080709090135,0.09052916263995606,0.08683080709090135,0.0862311876754697,0.08653099738318552
DIOR-R_22,1,0.10006063507003807,0.1058831441718896,0.10006063507003807,0.0999340378927846,0.09999733648141133
DIOR-R_22,2,0.089206719800455,0.09553018230430352,0.089206719800455,0.09135770903561605,0.09028221441803552
DIOR-R_22,3,0.09586769972724937,0.10309972906399797,0.09586769972724937,0.09877264163474148,0.09732017068099542
DIOR-R_22,4,0.08702671591196848,0.09417642929274084,0.08702671591196848,0.08938233614436664,0.08820452602816756
DIOR-R_22,5,0.0962854637501302,0.1029787042964442,0.0962854637501302,0.09750429483603135,0.09689487929308077
DIOR-R_22,6,0.09632690631947038,0.10134391619563737,0.09632690631947038,0.0980866577169763,0.09720678201822334
DIOR-R_22,7,0.09009293869550139,0.09118472966146787,0.09009293869550139,0.08504641773283816,0.08756967821416978
DIOR-R_22,8,0.0867455359263476,0.09038114653227744,0.0867455359263476,0.08572343425786372,0.08623448509210566
DIOR-R_22,9,0.09268939537458057,0.09977474488807547,0.09268939537458057,0.09494544383904246,0.09381741960681152
DIOR-R_22,10,0.09255667725165015,0.09978873602814917,0.09255667725165015,0.09315857344555817,0.09285762534860416
DIOR-R_22,11,0.09238557667558589,0.09710873302647774,0.09238557667558589,0.09147851145047017,0.09193204406302803
DIOR-R_22,12,0.08948403624289941,0.09455291801137455,0.08948403624289941,0.0900488459800507,0.08976644111147505
DIOR-R_22,13,0.09447852836769466,0.0979650577266166,0.09447852836769466,0.09119529067781926,0.09283690952275696
DIOR-R_22,14,0.08394921111997433,0.09131858785948938,0.08394921111997433,0.08621695084989903,0.08508308098493668
DIOR-R_22,15,0.09294940456950332,0.09702418684944283,0.09294940456950332,0.09048039630681884,0.09171490043816108
DIOR-R_22,16,0.08709195976370998,0.0904448510934032,0.08709195976370998,0.08626469807139153,0.08667832891755076
DIOR-R_22,17,0.0920035772325658,0.09557698538004783,0.0920035772325658,0.09320596646006929,0.09260477184631755
DIOR-R_22,18,0.08715056995230563,0.08980157760890156,0.08715056995230563,0.08548250135734456,0.0863165356548251
DIOR-R_22,19,0.08190515506615542,0.08831621564408923,0.08190515506615542,0.08513049444226889,0.08351782475421216
DIOR-R_22,20,0.0910802437234142,0.09521425599202799,0.0910802437234142,0.09043516536550542,0.0907577045444598
DIOR-R_22,21,0.09340434899557154,0.09637242978405158,0.09340434899557154,0.09117155025863591,0.09228794962710372
DIOR-R_22,22,0.10121112744844515,0.10556564838672933,0.10121112744844515,0.09945854390265818,0.10033483567555167
DIOR-R_22,23,0.08470055455639353,0.09146312542228693,0.08470055455639353,0.08363620176485734,0.08416837816062543
DIOR-R_22,24,0.08713258018341191,0.08979350673660055,0.08713258018341191,0.08927788769156711,0.08820523393748951
DIOR-R_22,25,0.09659845601922773,0.10277042218608687,0.09659845601922773,0.09890539662512654,0.09775192632217714
DIOR-R_22,26,0.09445588552945816,0.09673303083318532,0.09445588552945816,0.09234382408562097,0.09339985480753957
DIOR-R_22,27,0.095560046192328,0.10055057339330117,0.095560046192328,0.0947188432101696,0.0951394447012488
DIOR-R_22,28,0.09073152879530702,0.09778295318070113,0.09073152879530702,0.09328825920412709,0.09200989399971705
DIOR-R_22,29,0.09043699803628646,0.09427489506382664,0.09043699803628646,0.08742531870618098,0.08893115837123372
DIOR-R_22,30,0.09266278713329046,0.09788204773019049,0.09266278713329046,0.09498638739272039,0.09382458726300542
DIOR-R_22,31,0.09598970036287766,0.09692688915694636,0.09598970036287766,0.0915273634601817,0.09375853191152968
DIOR-R_22,32,0.09080696743232136,0.09642253866331371,0.09080696743232136,0.09126308940933506,0.09103502842082821
DIOR-R_22,33,0.09427558203386854,0.09835895926389579,0.09427558203386854,0.09251577937874994,0.09339568070630924
DIOR-R_22,34,0.08351449209722644,0.0905824541344743,0.08351449209722644,0.08536814261350756,0.084441317355367
DIOR-R_22,35,0.09455006951955064,0.09530020386931914,0.09455006951955064,0.08980898694258505,0.09217952823106784
DIOR-R_22,36,0.09389445602223759,0.09815672745438495,0.09389445602223759,0.09209873053988099,0.09299659328105929
DIOR-R_22,37,0.08452359310847893,0.09091370767893914,0.08452359310847893,0.08860185438176707,0.086562723745123
DIOR-R_22,38,0.0900829880287761,0.09621193274480719,0.0900829880287761,0.08845478347559549,0.08926888575218579
DIOR-R_22,39,0.08580345927289618,0.08951894278372424,0.08580345927289618,0.08630419834546349,0.08605382880917983
DIOR-R_22,40,0.08764094243806594,0.09248489052234429,0.08764094243806594,0.08972765479082967,0.0886842986144478
DIOR-R_22,41,0.08980916822106022,0.0944093734491682,0.08980916822106022,0.08900729332817509,0.08940823077461765
DIOR-R_22,42,0.08783799884845686,0.08843947457285131,0.08783799884845686,0.08874516585308076,0.08829158235076881
DIOR-R_22,43,0.08616516453147999,0.0899799393208513,0.08616516453147999,0.08585208364314187,0.08600862408731093
DIOR-R_22,44,0.08434547449511198,0.09184603173068512,0.08434547449511198,0.0855703175219481,0.08495789600853004
DIOR-R_22,45,0.08863453239651559,0.09393936106085529,0.08863453239651559,0.0874235984548472,0.0880290654256814
DIOR-R_22,46,0.08038830151916526,0.08388292281544776,0.08038830151916526,0.08070623232085877,0.08054726692001202
DIOR-R_22,47,0.08561292435132539,0.0867047343860112,0.08561292435132539,0.08343445203518787,0.08452368819325663
DIOR-R_22,48,0.08477446515836368,0.09211852075392304,0.08477446515836368,0.0874575392081631,0.08611600218326339
DIOR-R_22,49,0.09053997684920262,0.0976256152146496,0.09053997684920262,0.09309033069800152,0.09181515377360207
DIOR-R_22,50,0.0948356777985192,0.10057900349574986,0.0948356777985192,0.09405845863950332,0.09444706821901126
DIOR-R_22,51,0.08239235101040743,0.09007627716450367,0.08239235101040743,0.08431582452990197,0.0833540877701547
DIOR-R_22,52,0.09775245012636746,0.10290411493279131,0.09775245012636746,0.09799321024342589,0.09787283018489668
DIOR-R_22,53,0.09380496722615933,0.0994872911734074,0.09380496722615933,0.09405450662666204,0.09392973692641068
DIOR-R_22,54,0.09589438358747984,0.09966659146064205,0.09589438358747984,0.09447799142652907,0.09518618750700446
DIOR-R_22,55,0.08420991408037959,0.0867288745848849,0.08420991408037959,0.08513838751719505,0.08467415079878732
DIOR-R_22,56,0.08417889020085664,0.08508525563042607,0.08417889020085664,0.08278599531224728,0.08348244275655196
DIOR-R_22,57,0.0914316717842778,0.09814679141738578,0.0914316717842778,0.09443982187673555,0.09293574683050668
DIOR-R_22,58,0.09153937116101224,0.09454715614996584,0.09153937116101224,0.087317115024412,0.08942824309271212
DIOR-R_22,59,0.08979710245200156,0.09349883944008469,0.08979710245200156,0.08841364658310655,0.08910537451755406
DIOR-R_22,60,0.0868039211110638,0.09054116767327741,0.0868039211110638,0.08559980221377567,0.08620186166241973
DIOR-R_22,61,0.08464436238220965,0.0880866976141515,0.08464436238220965,0.08351105817026694,0.0840777102762383
DIOR-R_22,62,0.08583608656673664,0.0914974444700119,0.08583608656673664,0.08559503218333461,0.08571555937503562
DIOR-R_22,63,0.09606362744810182,0.10039781658531782,0.09606362744810182,0.09556560067581898,0.0958146140619604
DIOR-R_22,64,0.09659995303530738,0.10004180412103642,0.09659995303530738,0.09423156783757175,0.09541576043643957
DIOR-R_22,65,0.08326306176458076,0.08946440464910319,0.08326306176458076,0.08743349620917917,0.08534827898687997
DIOR-R_22,66,0.09087523667005984,0.09493522036312693,0.09087523667005984,0.09252358035882544,0.09169940851444264
DIOR-R_22,67,0.09279998515671506,0.09306639220709739,0.09279998515671506,0.08918226801568144,0.09099112658619825
DIOR-R_22,68,0.09914187232910093,0.10426731068163528,0.09914187232910093,0.09528594584495226,0.0972139090870266
DIOR-R_22,69,0.09303974471454046,0.09471624412564178,0.09303974471454046,0.08966725796872377,0.09135350134163212
DIOR-R_22,70,0.08291355616408963,0.08737512085561475,0.08291355616408963,0.08393018056311205,0.08342186836360084
