scenario_index,evaluation_unit,score,alpha_label,alpha,replicates,fit_nonempty_profile,calibration_nonempty_profile,split_fst_false_rejections,split_fst_empirical_fwer,split_fst_cp95_upper,split_fst_pass,holm_false_rejections,holm_empirical_fwer,holm_cp95_upper,holm_pass,seed,endpoint
0,A,detection_score,absolute_0.001,0.001000,50000,49;107;184;352;508;588;664;770;914;1062;1253;1480;1673,54;107;175;352;507;591;682;798;965;1145;1361;1612;1794,16234,0.324680,0.328142,False,49938,0.998760,0.999007,False,20260805,geometry_normalized_severe
1,A,detection_score,absolute_0.0025,0.002500,50000,49;107;184;352;508;588;664;770;914;1062;1253;1480;1673,54;107;175;352;507;591;682;798;965;1145;1361;1612;1794,18805,0.376100,0.379679,False,49957,0.999140,0.999344,False,20260805,geometry_normalized_severe
2,A,detection_score,absolute_0.005,0.005000,50000,49;107;184;352;508;588;664;770;914;1062;1253;1480;1673,54;107;175;352;507;591;682;798;965;1145;1361;1612;1794,22017,0.440340,0.444004,False,49991,0.999820,0.999906,False,20260805,geometry_normalized_severe
3,A,detection_score,absolute_0.01,0.010000,50000,49;107;184;352;508;588;664;770;914;1062;1253;1480;1673,54;107;175;352;507;591;682;798;965;1145;1361;1612;1794,21841,0.436820,0.440481,False,49992,0.999840,0.999920,False,20260805,geometry_normalized_severe
4,A,detection_score,relative_0.5_r_fit,0.010003,50000,49;107;184;352;508;588;664;770;914;1062;1253;1480;1673,54;107;175;352;507;591;682;798;965;1145;1361;1612;1794,21522,0.430440,0.434095,False,49992,0.999840,0.999920,False,20260805,geometry_normalized_severe
5,A,detection_score,relative_0.25_r_fit,0.005002,50000,49;107;184;352;508;588;664;770;914;1062;1253;1480;1673,54;107;175;352;507;591;682;798;965;1145;1361;1612;1794,22267,0.445340,0.449008,False,49995,0.999900,0.999961,False,20260805,geometry_normalized_severe
6,A,tta_circular_consistency,absolute_0.001,0.001000,50000,92;191;302;459;652;803;947;1103;1254;1361;1471;1563;1673,83;197;330;518;717;903;1037;1211;1353;1489;1583;1677;1794,17289,0.345780,0.349295,False,49933,0.998660,0.998917,False,20260805,geometry_normalized_severe
7,A,tta_circular_consistency,absolute_0.0025,0.002500,50000,92;191;302;459;652;803;947;1103;1254;1361;1471;1563;1673,83;197;330;518;717;903;1037;1211;1353;1489;1583;1677;1794,20289,0.405780,0.409406,False,49976,0.999520,0.999669,False,20260805,geometry_normalized_severe
8,A,tta_circular_consistency,absolute_0.005,0.005000,50000,92;191;302;459;652;803;947;1103;1254;1361;1471;1563;1673,83;197;330;518;717;903;1037;1211;1353;1489;1583;1677;1794,24274,0.485480,0.489167,False,49988,0.999760,0.999862,False,20260805,geometry_normalized_severe
9,A,tta_circular_consistency,absolute_0.01,0.010000,50000,92;191;302;459;652;803;947;1103;1254;1361;1471;1563;1673,83;197;330;518;717;903;1037;1211;1353;1489;1583;1677;1794,27563,0.551260,0.554926,False,49993,0.999860,0.999934,False,20260805,geometry_normalized_severe
10,A,tta_circular_consistency,relative_0.5_r_fit,0.010003,50000,92;191;302;459;652;803;947;1103;1254;1361;1471;1563;1673,83;197;330;518;717;903;1037;1211;1353;1489;1583;1677;1794,27452,0.549040,0.552708,False,49995,0.999900,0.999961,False,20260805,geometry_normalized_severe
11,A,tta_circular_consistency,relative_0.25_r_fit,0.005002,50000,92;191;302;459;652;803;947;1103;1254;1361;1471;1563;1673,83;197;330;518;717;903;1037;1211;1353;1489;1583;1677;1794,24312,0.486240,0.489927,False,49989,0.999780,0.999877,False,20260805,geometry_normalized_severe
12,A,source_supervised_leave_geometry,absolute_0.001,0.001000,50000,90;205;389;622;770;859;944;1025;1178;1284;1362;1546;1673,97;254;451;694;857;943;1028;1138;1312;1431;1499;1672;1794,19668,0.393360,0.396968,False,49957,0.999140,0.999344,False,20260805,geometry_normalized_severe
13,A,source_supervised_leave_geometry,absolute_0.0025,0.002500,50000,90;205;389;622;770;859;944;1025;1178;1284;1362;1546;1673,97;254;451;694;857;943;1028;1138;1312;1431;1499;1672;1794,18521,0.370420,0.373988,False,49972,0.999440,0.999602,False,20260805,geometry_normalized_severe
14,A,source_supervised_leave_geometry,absolute_0.005,0.005000,50000,90;205;389;622;770;859;944;1025;1178;1284;1362;1546;1673,97;254;451;694;857;943;1028;1138;1312;1431;1499;1672;1794,19759,0.395180,0.398791,False,49983,0.999660,0.999783,False,20260805,geometry_normalized_severe
15,A,source_supervised_leave_geometry,absolute_0.01,0.010000,50000,90;205;389;622;770;859;944;1025;1178;1284;1362;1546;1673,97;254;451;694;857;943;1028;1138;1312;1431;1499;1672;1794,28521,0.570420,0.574068,False,49994,0.999880,0.999948,False,20260805,geometry_normalized_severe
16,A,source_supervised_leave_geometry,relative_0.5_r_fit,0.010003,50000,90;205;389;622;770;859;944;1025;1178;1284;1362;1546;1673,97;254;451;694;857;943;1028;1138;1312;1431;1499;1672;1794,28340,0.566800,0.570452,False,49996,0.999920,0.999973,False,20260805,geometry_normalized_severe
17,A,source_supervised_leave_geometry,relative_0.25_r_fit,0.005002,50000,90;205;389;622;770;859;944;1025;1178;1284;1362;1546;1673,97;254;451;694;857;943;1028;1138;1312;1431;1499;1672;1794,19883,0.397660,0.401274,False,49979,0.999580,0.999719,False,20260805,geometry_normalized_severe
18,B,detection_score,absolute_0.001,0.001000,50000,60;146;276;466;639;749;847;953;1097;1238;1418;1597;1749,71;158;286;465;685;785;874;997;1156;1335;1523;1714;1870,18035,0.360700,0.364248,False,49968,0.999360,0.999534,False,20260805,geometry_normalized_severe
19,B,detection_score,absolute_0.0025,0.002500,50000,60;146;276;466;639;749;847;953;1097;1238;1418;1597;1749,71;158;286;465;685;785;874;997;1156;1335;1523;1714;1870,19883,0.397660,0.401274,False,49981,0.999620,0.999751,False,20260805,geometry_normalized_severe
20,B,detection_score,absolute_0.005,0.005000,50000,60;146;276;466;639;749;847;953;1097;1238;1418;1597;1749,71;158;286;465;685;785;874;997;1156;1335;1523;1714;1870,22330,0.446600,0.450269,False,49988,0.999760,0.999862,False,20260805,geometry_normalized_severe
21,B,detection_score,absolute_0.01,0.010000,50000,60;146;276;466;639;749;847;953;1097;1238;1418;1597;1749,71;158;286;465;685;785;874;997;1156;1335;1523;1714;1870,25397,0.507940,0.511627,False,49993,0.999860,0.999934,False,20260805,geometry_normalized_severe
22,B,detection_score,relative_0.5_r_fit,0.012520,50000,60;146;276;466;639;749;847;953;1097;1238;1418;1597;1749,71;158;286;465;685;785;874;997;1156;1335;1523;1714;1870,28790,0.575800,0.579442,False,49998,0.999960,0.999993,False,20260805,geometry_normalized_severe
23,B,detection_score,relative_0.25_r_fit,0.006260,50000,60;146;276;466;639;749;847;953;1097;1238;1418;1597;1749,71;158;286;465;685;785;874;997;1156;1335;1523;1714;1870,25873,0.517460,0.521145,False,49992,0.999840,0.999920,False,20260805,geometry_normalized_severe
24,B,tta_circular_consistency,absolute_0.001,0.001000,50000,88;171;288;464;736;929;1078;1211;1332;1444;1537;1632;1749,90;179;300;523;808;1016;1180;1318;1422;1526;1629;1737;1870,16423,0.328460,0.331932,False,49939,0.998780,0.999025,False,20260805,geometry_normalized_severe
25,B,tta_circular_consistency,absolute_0.0025,0.002500,50000,88;171;288;464;736;929;1078;1211;1332;1444;1537;1632;1749,90;179;300;523;808;1016;1180;1318;1422;1526;1629;1737;1870,19006,0.380120,0.383706,False,49975,0.999500,0.999652,False,20260805,geometry_normalized_severe
26,B,tta_circular_consistency,absolute_0.005,0.005000,50000,88;171;288;464;736;929;1078;1211;1332;1444;1537;1632;1749,90;179;300;523;808;1016;1180;1318;1422;1526;1629;1737;1870,23518,0.470360,0.474043,False,49989,0.999780,0.999877,False,20260805,geometry_normalized_severe
27,B,tta_circular_consistency,absolute_0.01,0.010000,50000,88;171;288;464;736;929;1078;1211;1332;1444;1537;1632;1749,90;179;300;523;808;1016;1180;1318;1422;1526;1629;1737;1870,28537,0.570740,0.574388,False,49993,0.999860,0.999934,False,20260805,geometry_normalized_severe
