config,target_unit,target_dataset,target_detector,alpha,nominal_coverage,rows,clusters,overall_coverage,overall_validity_pass,supported_buckets,worst_supported_bucket_coverage,supported_bucket_pass,median_width_deg,near_full_gt150_rate,global_fallback_rate,efficiency_pass,IS_GC,IS_GCT,paired_gain,standardized_paired_gain
HOdet_A_to_B,B,DIOR-R,Oriented R-CNN,0.1,0.9,47816,5446,0.9242931236406224,True,25,0.8837209302325582,True,11.677777049601081,0.1257319725614857,0.0,False,73.21036979336196,64.98007796991821,8.23029182344375,0.11241975483355633
HOdet_A_to_B,B,DIOR-R,Oriented R-CNN,0.2,0.8,47816,5446,0.8277354860297809,True,25,0.7706270627062707,True,7.275323778391539,0.10278986113434833,0.0,False,54.39562978187615,50.05859284357956,4.337036938296592,0.0797313489279911
HOdet_A_to_C,C,DIOR-R,RTMDet,0.1,0.9,47817,5516,0.8853336679423636,True,25,0.6137647663071392,False,12.041871125585635,0.07102076667294059,0.0,True,64.32664786934512,84.72987050277848,-20.40322263343336,-0.317181499568805
HOdet_A_to_C,C,DIOR-R,RTMDet,0.2,0.8,47817,5516,0.7652299391429827,True,25,0.566512583461736,False,7.464154001098565,0.047723612941004245,0.0,True,52.5793979735532,59.809534370570674,-7.230136397017475,-0.13750892318421268
HOdet_BC_to_A,A,DIOR-R,PSC,0.1,0.9,43838,5368,0.8959806560518272,True,25,0.8525754884547069,True,8.620200728644388,0.1302979150508691,0.0,False,71.49560121506855,73.16220567556415,-1.6666044604956056,-0.02331058739519137
HOdet_BC_to_A,A,DIOR-R,PSC,0.2,0.8,43838,5368,0.804302203567681,True,25,0.7119301648884578,True,6.0830384813945395,0.11572152014234226,0.0,False,56.45173358739647,55.305955133504625,1.1457784538918432,0.02029660350674602
HOdata_ABC_to_D,D,FAIR1M,PSC,0.1,0.9,2920,736,0.9256849315068493,True,5,0.8151815181518152,True,8.112102554621575,0.0058219178082191785,0.0,True,18.544232959092565,15.59127653775222,2.9529564213403443,0.15923853134580354
HOdata_ABC_to_D,D,FAIR1M,PSC,0.2,0.8,2920,736,0.8236301369863014,True,5,0.6864686468646864,False,5.6878428417247235,0.00410958904109589,0.0,True,13.723856696629644,11.900931521271245,1.8229251753583995,0.13282892816900954
HOdata_ABC_to_E,E,SODA-A,PSC,0.1,0.9,35229,465,0.9016435323171251,True,17,0.856396866840731,True,12.399258469339774,0.2188537852337563,0.0,False,100.74008205713459,101.77005724913091,-1.0299751919963285,-0.010224085299158081
HOdata_ABC_to_E,E,SODA-A,PSC,0.2,0.8,35229,465,0.7861137131340656,True,17,0.706855791962175,True,8.299466693693129,0.20693178915098356,0.0,False,79.02291495107251,76.55503549902586,2.4678794520466454,0.031229921771104587
HOdata_ABC_to_F,F,SODA-A,Oriented R-CNN,0.1,0.9,39917,462,0.8854122303780344,True,17,0.8461538461538461,True,11.205500743374477,0.21008592830122505,0.0,False,100.57877849912656,100.27589911654086,0.3028793825857008,0.003011364694475098
HOdata_ABC_to_F,F,SODA-A,Oriented R-CNN,0.2,0.8,39917,462,0.7582233133752536,True,17,0.7013705851344227,True,7.507432990694635,0.19179798081018112,0.0,False,76.65963859230929,75.09659764508261,1.563040947226682,0.020389359719515956
HOdata_ABC_to_G,G,DOTA-v1.0,Oriented R-CNN,0.1,0.9,31029,357,0.8884591833446132,True,20,0.810207336523126,True,9.16037784712153,0.11776080440877888,0.0,False,58.70983171786378,55.57574729476511,3.1340844230986704,0.05338261635904255
HOdata_ABC_to_G,G,DOTA-v1.0,Oriented R-CNN,0.2,0.8,31029,357,0.7576460730284572,True,20,0.6498194945848376,False,6.297907105298304,0.10515968932289149,0.0,False,45.00079122626542,43.33358552253446,1.6672057037309571,0.03704836422426871
HOdata_ABC_to_H,H,DOTA-v1.0,RTMDet-M,0.1,0.9,32435,359,0.9083705873285032,True,21,0.8098159509202454,True,9.413001651962531,0.1393556343456143,0.0,False,51.153846174064405,50.759203118097645,0.3946430559667604,0.007714826654947581
HOdata_ABC_to_H,H,DOTA-v1.0,RTMDet-M,0.2,0.8,32435,359,0.7861260983505473,True,21,0.6748466257668712,False,6.418164546098619,0.13056882996762756,0.0,False,43.1073325334107,42.47547894333908,0.6318535900716213,0.014657682415906806
